Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Karui Kimochi de Heya ni Ageta Gal to Hamemakuri!? (Gyarus in My Room for a Fuckfest),7.35,173,,21920,575,11,Doujinshi,1,Unknown,Finished,"Dec  31, 2019",['Hentai'],[],,,"Puuzaki, Puuna (Story & Art)",0,"[0, 0, 0]"
"Me wo Tojite 3-byou dj - Me wo Hiraitemo, 3 Senchi.",7.35,679,,13269,"1,274",2,Doujinshi,1,1,Finished,2011,"['Boys Love', 'Erotica']",[],,,"Aniya, Yuiji (Story & Art)",0,"[0, 0, 0]"
Otona Keikenchi dj - Boku wa Sunao ja Nai.,7.35,1592,,6346,"3,262",3,Doujinshi,1,1,Finished,"Mar  8, 2009","['Boys Love', 'Comedy', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Blue! Blue! Blue! After Story,7.34,289,,21853,578,1,Doujinshi,1,Unknown,Finished,"Oct  21, 2018","['Boys Love', 'Erotica']",[],,,Amamiya (Story & Art),0,"[0, 0, 0]"
Houkago (After School),7.34,225,,20647,640,3,Doujinshi,Unknown,Unknown,Publishing,"Apr  30, 2018 to ?","['Girls Love', 'Erotica']",['School'],,,"Oshima, Towa (Story), Ooshima, Tomo (Art)",0,"[0, 0, 0]"
Totally Captivated dj - Mr. Sangchul's Diary,7.34,581,,13760,"1,209",4,Doujinshi,1,1,Finished,Not available,"['Boys Love', 'Erotica']",[],,,"Yoo, Ha Jin (Story & Art)",1,"[0, 0, 1]"
Rules/Hydra Short Stories,7.34,499,,15088,"1,056",6,Doujinshi,1,6,Finished,2004 to ?,"['Boys Love', 'Drama', 'Slice of Life', 'Erotica']",[],,,"Miyamoto, Kano (Story & Art)",0,"[0, 0, 0]"
Leviathan,7.33,941,4483,8908,"2,161",20,Doujinshi,1,Unknown,Finished,"Aug  25, 2019","['Sci-Fi', 'Suspense']","['Space', 'Survival']",,,"Hiramatsu, Kannosuke (Story & Art)",4,"[1, 3, 0]"
Mousou Elektel dj - Mousou Graffiti,7.33,676,,12317,"1,407",0,Doujinshi,1,2,Finished,"Aug  11, 2013","['Boys Love', 'Drama', 'Romance', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Ase to Sekken dj - Kodomo Tsukuru Hon,7.32,456,,15062,"1,059",4,Doujinshi,1,Unknown,Finished,"Jun  6, 2021",['Hentai'],[],,,"Yamada, Kintetsu (Story & Art)",0,"[0, 0, 0]"
Gokugoku Futsuu no Fuufu no Hanashi: Matome,7.31,515,4637,8460,"2,311",12,Doujinshi,Unknown,Unknown,Publishing,"Dec  31, 2023 to ?","['Comedy', 'Romance']",[],,,Tokiwa (Story & Art),1,"[0, 1, 0]"
R.E.I.N.A,7.31,1023,,7306,"2,756",49,Doujinshi,1,Unknown,Finished,"Dec  31, 2016",['Hentai'],[],,,Hiten (Story & Art),1,"[1, 0, 0]"
Dear My Teacher,7.31,959,4644,6272,"3,306",26,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2012 to ?","['Girls Love', 'Romance']",['School'],,,Ajiichi (Story & Art),2,"[2, 0, 0]"
Hyakujitsu no Bara dj - Luckenwalde no Heya de,7.31,576,,13458,"1,247",7,Doujinshi,4,4,Finished,"Aug  14, 2009","['Boys Love', 'Erotica']",[],,,"Inariya, Fusanosuke (Story & Art)",0,"[0, 0, 0]"
"Tadaima, Okaeri dj - Oni Taiji!",7.30,199,4733,24740,458,2,Doujinshi,1,Unknown,Finished,"Mar  5, 2017","['Boys Love', 'Slice of Life']",[],,,"Ichikawa, Ichi (Story & Art)",0,"[0, 0, 0]"
Tomodachi no Neechan ni Koishita Hanashi to Neechan no Tomodachi ga Uzai Hanashi (I Fell for My Friend's Older Sister + My Older Sister's Friend is Annoying),7.29,186,4879,18423,773,7,Doujinshi,Unknown,Unknown,Publishing,"Feb  21, 2022 to ?",['Romance'],[],,,"Azusa, Kina (Story & Art)",0,"[0, 0, 0]"
Heart Mark Oome. (Lotsa Hearts),7.29,316,,14148,"1,162",10,Doujinshi,3,Unknown,Finished,"Dec  31, 2018 to Aug  14, 2022",['Hentai'],[],,,"Miyamoto, Issa (Story & Art)",0,"[0, 0, 0]"
Hana to Ryuu,7.29,587,,13175,"1,285",10,Doujinshi,5,23,Finished,"Aug  16, 1993 to Mar  14, 2010","['Boys Love', 'Drama', 'Erotica']",[],,,"Kodaka, Kazuma (Story & Art)",1,"[1, 0, 0]"
Mine-kun wa Non-Sexual (Mine-kun is Asexual),7.28,563,4976,10514,"1,747",12,Doujinshi,1,Unknown,Finished,"Nov  24, 2019",['Romance'],[],,,"Isaki, Uta (Story & Art)",4,"[3, 1, 0]"
Ii Fuufu no Hanashi,7.28,1354,4973,3939,"5,525",25,Doujinshi,Unknown,Unknown,Publishing,"May  4, 2020 to ?","['Comedy', 'Romance', 'Slice of Life']",[],,,Saisou (Story & Art),0,"[0, 0, 0]"
Enjo Kouhai (Aid Mating),7.28,158,,17272,858,28,Doujinshi,Unknown,Unknown,Publishing,"Dec  31, 2016 to ?","['Fantasy', 'Hentai']","['Harem', 'Mythology']",,,Takunomi (Story & Art),0,"[0, 0, 0]"
La Satanica dj - Fluffy Thing,7.28,516,,16781,898,1,Doujinshi,1,1,Finished,2011,"['Boys Love', 'Erotica']",[],,,"Tenzen, Momoko (Story & Art)",0,"[0, 0, 0]"
Gachinko Battle!!,7.27,520,,15785,987,3,Doujinshi,1,Unknown,Finished,"Mar  31, 2013","['Boys Love', 'Erotica']",[],,,Itto (Story & Art),1,"[1, 0, 0]"
Gravitation dj - Gravitation Remix,7.27,1075,,8748,"2,211",10,Doujinshi,1,12,Finished,1996,"['Boys Love', 'Erotica']",[],,,"Murakami, Maki (Story)",1,"[1, 0, 0]"
Iribitari Gal ni Ma〇ko Tsukawasete Morau Hanashi (Drop-in Gyaru Lets Me Use Her Pussy),7.26,309,,16169,953,11,Doujinshi,Unknown,Unknown,Finished,"Dec  31, 2022 to ?",['Hentai'],[],,,Manno (Story & Art),0,"[0, 0, 0]"
Mayoiga no Oneesan,7.26,320,,13791,"1,205",12,Doujinshi,3,Unknown,Finished,"Dec  31, 2015 to Dec  31, 2017",['Hentai'],[],,,"Mikemono, Yuu (Story & Art)",0,"[0, 0, 0]"
Poor Poor Lips dj - Berry Berry Berry A,7.26,421,,17188,865,1,Doujinshi,1,Unknown,Finished,"May  5, 2013","['Girls Love', 'Romance', 'Erotica']",[],,,"Gotou, Hayako (Story & Art)",0,"[0, 0, 0]"
Oni no Oyako wa Hito no Osu to Kozukuri ga Shitai (Mating With Oni),7.25,514,,11500,"1,549",14,Doujinshi,3,Unknown,Finished,"Aug  14, 2016 to Aug  13, 2017","['Fantasy', 'Hentai']","['Harem', 'Mythology']",,,Shindou (Story & Art),0,"[0, 0, 0]"
Mousou Elektel dj - Gosou-teki Mannerism,7.25,374,,16572,917,0,Doujinshi,2,Unknown,Finished,"Aug  12, 2016 to Dec  30, 2016","['Boys Love', 'Comedy', 'Romance', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Goshujinsama to Watashi,7.25,824,5325,9984,"1,859",14,Doujinshi,Unknown,Unknown,Finished,"Aug  16, 2015","['Comedy', 'Fantasy', 'Girls Love', 'Slice of Life']",[],,,"Itou, Hachi (Story & Art)",0,"[0, 0, 0]"
Under (xGround) Grand Hotel dj - Honeymoon,7.25,708,,13011,"1,307",3,Doujinshi,1,1,Finished,"Feb  9, 2003","['Boys Love', 'Drama', 'Romance', 'Erotica']",[],,,"Sadahiro, Mika (Story & Art)",0,"[0, 0, 0]"
