Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Kyokou Suiri (Invented Inference),,,31310,27040,385,12,Novel,Unknown,Unknown,Publishing,"May  11, 2011 to ?","['Mystery', 'Romance', 'Supernatural']",['Mythology'],,,"Shirodaira, Kyou (Story)",0,"[0, 0, 0]"
Nichijou no Natsuyasumi,,,31311,44129,119,1,Novel,1,7,Finished,"Feb  15, 2014",['Comedy'],['Gag Humor'],Kids,,"Arawi, Keiichi (Art), Izuno, Hiranari (Story)",0,"[0, 0, 0]"
Sarazanmai,,,31367,52937,73,0,Novel,2,19,Finished,"Apr  16, 2019 to Aug  7, 2019","['Action', 'Fantasy', 'Supernatural']",['Anthropomorphic'],,,"Ikuhara, Kunihiko (Story)",0,"[0, 0, 0]"
Psycho-Pass Asylum,,,31457,41856,137,0,Novel,2,Unknown,Finished,"Sep  10, 2014 to Nov  21, 2014","['Action', 'Mystery', 'Sci-Fi']",['Detective'],,,"Yoshigami, Ryou (Story)",0,"[0, 0, 0]"
Hakata Tonkotsu Ramens,,,31727,32393,256,4,Novel,Unknown,Unknown,Publishing,"Feb  25, 2014 to ?","['Action', 'Mystery']",[],,,"Ichiiro, Hako (Art), Kisaki, Chiaki (Story)",1,"[1, 0, 0]"
Hibike! Euphonium Series: Rikka Koukou Marching Band e Youkoso (Sound! Euphonium: Welcome to the Marching Band!),,,31791,35105,212,2,Novel,2,11,Finished,"Aug  4, 2016 to Sep  6, 2016",['Drama'],"['Music', 'School']",,,"Asada, Nikki (Art), Takeda, Ayano (Story)",0,"[0, 0, 0]"
Shousetsu Hirune Hime: Shiranai Watashi no Monogatari (Napping Princess: The Story of the Unknown Me),,,31795,32998,245,0,Novel,1,4,Finished,"Feb  25, 2017","['Adventure', 'Fantasy', 'Sci-Fi']",['Mecha'],,,"Kamiyama, Kenji (Story)",1,"[1, 0, 0]"
Kyoto Teramachi Sanjou no Holmes (Holmes of Kyoto),,,31893,39675,155,7,Novel,Unknown,Unknown,Publishing,"Apr  16, 2015 to ?","['Drama', 'Mystery']","['Detective', 'Love Status Quo']",,,"Mochizuki, Mai (Story)",0,"[0, 0, 0]"
Shoujo Fujuubun,,,32057,64038,40,2,Novel,1,Unknown,Finished,"Sep  7, 2011",['Mystery'],[],,,"NISIO, ISIN (Story)",0,"[0, 0, 0]"
Yojouhan Time Machine Blues,,,32353,29975,307,5,Novel,1,3,Finished,"Jul  29, 2020","['Comedy', 'Mystery', 'Romance', 'Suspense']","['Psychological', 'Time Travel']",,,"Morimi, Tomihiko (Story)",0,"[0, 0, 0]"
