Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Death Note: Tokubetsu Yomikiri (Death Note: Special One-Shot),7.46,48024,3210,235,"69,362",751,One-shot,Unknown,1,Finished,"Feb  4, 2020","['Drama', 'Mystery', 'Supernatural']",['Psychological'],Shounen,Jump SQ.,"Obata, Takeshi (Art), Ohba, Tsugumi (Story)",27,"[21, 1, 5]"
Nante Nasakenai Bokura da. (What a Pity We Are.),7.45,3082,3317,3905,"5,563",53,One-shot,Unknown,1,Finished,"Jun  10, 2020",['Romance'],['Music'],Shounen,Shounen Jump+,Hakuri (Story & Art),1,"[0, 1, 0]"
Kowareta Bokura no Senryaku Renai,7.45,2075,3333,5448,"3,883",24,One-shot,Unknown,1,Finished,"Jul  21, 2022",['Romance'],[],,Magazine pocket,"Uchiyama, Atsushi (Story & Art)",2,"[1, 1, 0]"
Eyeshield 21: Brain x Brave,7.44,270,3386,23758,496,1,One-shot,Unknown,1,Finished,"Jan  29, 2024",['Sports'],['Team Sports'],Shounen,Shounen Jump (Weekly),"Inagaki, Riichiro (Story), Murata, Yusuke (Art)",0,"[0, 0, 0]"
By Hero,7.43,3639,3474,3610,"6,048",25,One-shot,Unknown,1,Finished,"Apr  18, 2007",['Romance'],[],Shoujo,Ribon Bikkuri,"Sakura, Amyuu (Story & Art)",3,"[3, 0, 0]"
Rurouni Kenshin: Haru ni Sakura,7.43,2891,3479,4065,"5,359",31,One-shot,Unknown,1,Finished,Dec  1999,"['Action', 'Adventure', 'Comedy']","['Historical', 'Samurai']",Shounen,,"Watsuki, Nobuhiro (Story & Art)",1,"[0, 1, 0]"
Dousoukai,7.43,1329,3498,6077,"3,432",6,One-shot,Unknown,1,Finished,"Apr  28, 2015","['Boys Love', 'Slice of Life']",[],,Opera,"Nakamura, Asumiko (Story & Art)",1,"[0, 0, 1]"
Haikyuu!!,7.43,5535,3512,1779,"11,848","2,253",One-shot,Unknown,1,Finished,"Apr  25, 2011",['Sports'],"['School', 'Team Sports']",Shounen,Shounen Jump (Weekly),"Furudate, Haruichi (Story & Art)",1,"[0, 0, 1]"
Sonogo no Succubus-san,7.42,1316,3549,8845,"2,183",15,One-shot,Unknown,1,Finished,"Jul  22, 2021",['Romance'],[],Shounen,Shounen Jump+,"Agasa, Reiji (Story & Art)",2,"[2, 0, 0]"
Akuma ni Itsukushimi no Te wo,7.42,3166,3578,3874,"5,601",26,One-shot,Unknown,1,Finished,"Jun  28, 2011","['Drama', 'Fantasy', 'Romance']",['Mythology'],Shoujo,ARIA,"Takagi, Shigeyoshi (Story & Art)",2,"[2, 0, 0]"
Kishuku Gakkou no Juliet (Juliet of Boarding School),7.42,3501,3620,3019,"7,201",160,One-shot,Unknown,1,Finished,"Dec  9, 2014","['Action', 'Comedy', 'Romance']",['School'],Shounen,Bessatsu Shounen Magazine,"Kaneda, Yousuke (Story & Art)",3,"[3, 0, 0]"
Ao Haru Ride: Special Booklet,7.41,2026,3649,4451,"4,854",19,One-shot,Unknown,1,Finished,"May  23, 2014","['Romance', 'Slice of Life']",['School'],Shoujo,,"Sakisaka, Io (Story & Art)",0,"[0, 0, 0]"
Hitoner,7.41,336,3714,22431,551,1,One-shot,Unknown,1,Finished,"Feb  15, 2024","['Drama', 'Sci-Fi']","['Adult Cast', 'Anthropomorphic']",Shounen,Shounen Jump+,"Yagi, Tomohiro (Story & Art)",1,"[1, 0, 0]"
Boku no Kanojo wa Dekkawaii (My Girlfriend Is Big & Cute!),7.41,994,3715,9997,"1,855",3,One-shot,Unknown,1,Finished,"Jan  26, 2024","['Comedy', 'Romance']",[],,Dengeki Daioh,sanorin (Story & Art),2,"[2, 0, 0]"
Yakusoku no Neverland: Tokubetsu Bangai-hen - Haha no Ketsui (The Promised Neverland: Special Side Story - A Mother's Determination),7.40,2026,3756,5502,"3,828",9,One-shot,Unknown,1,Finished,"Dec  14, 2020","['Horror', 'Mystery', 'Sci-Fi']",[],Shounen,Shounen Jump (Weekly),"Demizu, Posuka (Art), Shirai, Kaiu (Story)",1,"[1, 0, 0]"
GE: Good Ending,7.39,5688,3849,2266,"9,386",167,One-shot,Unknown,1,Finished,Mar  2009,"['Romance', 'Sports']",['School'],Shounen,Shounen Magazine (Weekly),"Sasuga, Kei (Story & Art)",2,"[2, 0, 0]"
Kominato Ryousuke Special Bangai-hen: Face,7.38,283,3908,19882,682,9,One-shot,Unknown,1,Finished,"May  14, 2014",['Sports'],['Team Sports'],Shounen,Shounen Magazine (Weekly),"Terajima, Yuuji (Story & Art)",1,"[1, 0, 0]"
4-funkan no Owari ni (At the End of 4 Minutes),7.37,1695,3988,7444,"2,699",22,One-shot,Unknown,1,Finished,"Apr  16, 2021",['Supernatural'],[],Shounen,Shounen Jump+,"Hiramatsu, Yariku (Story & Art)",2,"[2, 0, 0]"
One Piece: Vivi no Bouken (One Piece: Vivi's Adventure),7.37,1675,3989,6762,"3,042",6,One-shot,Unknown,1,Finished,"Aug  30, 2021","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",[],Shounen,Shounen Jump (Weekly),"Oda, Eiichiro (Story), Komi, Naoshi (Art)",0,"[0, 0, 0]"
Kuramochi Youichi Special Bangai-hen: OutRun,7.37,323,4036,17883,812,9,One-shot,Unknown,1,Finished,"Mar  17, 2014",['Comedy'],['School'],,,"Terajima, Yuuji (Story & Art)",1,"[1, 0, 0]"
Komi-san wa Comyushou desu.,7.36,11541,4090,855,"22,444","1,097",One-shot,Unknown,1,Finished,"Sep  16, 2015",['Comedy'],['School'],Shounen,Shounen Sunday,"Oda, Tomohito (Story & Art)",3,"[2, 1, 0]"
Air Gear - Trick:358,7.36,1321,4091,7110,"2,847",15,One-shot,Unknown,1,Finished,"Dec  22, 2015","['Action', 'Ecchi']",[],Shounen,Shounen Magazine (Weekly),Oh! Great (Story & Art),0,"[0, 0, 0]"
Nanokakan Shokudou,7.36,753,4102,12369,"1,399",2,One-shot,Unknown,1,Finished,"Jun  23, 2021","['Romance', 'Slice of Life']",[],Shounen,Shounen Jump+,"Sanka, Kumaru (Story & Art)",2,"[1, 1, 0]"
xxxHOLiC Shi (xxxHOLiC・Shi),7.36,431,4179,10679,"1,710",20,One-shot,Unknown,1,Finished,"Aug  10, 2011",[],[],,,CLAMP (Story & Art),0,"[0, 0, 0]"
Kimetsu no Yaiba: Tokubetsu Yomikiri (Kimetsu no Yaiba: Special One-shot),7.35,4964,4284,2476,"8,654",57,One-shot,Unknown,1,Finished,"Oct  5, 2020","['Action', 'Fantasy']",['Historical'],Shounen,Shounen Jump (Weekly),"Gotouge, Koyoharu (Story & Art)",1,"[1, 0, 0]"
Kamisama Hajimemashita: Sonogo no Futari,7.34,230,4287,18456,771,8,One-shot,Unknown,1,Finished,"Dec  20, 2016",['Romance'],[],,,"Suzuki, Julietta (Story & Art)",0,"[0, 0, 0]"
Kodomo no Kamisama,7.34,1241,4294,9330,"2,033",7,One-shot,Unknown,1,Finished,"Sep  20, 2015","['Drama', 'Romance', 'Supernatural']",[],Shounen,Shounen Sunday,"Misu, Shinya (Story & Art)",1,"[1, 0, 0]"
Nomura Nao to Kyougoku Hina wa,7.34,407,4304,20047,673,1,One-shot,Unknown,1,Finished,"Dec  1, 2019",['Girls Love'],['School'],,Magazine pocket,Chariot (Story & Art),0,"[0, 0, 0]"
Make Heroine wo Katasetai!!,7.34,526,4322,16129,954,3,One-shot,Unknown,1,Finished,"Jul  27, 2020","['Comedy', 'Romance']",[],Shounen,Jump GIGA,"Ashigaki, Tei (Art), Nakayama, Michiru (Story)",0,"[0, 0, 0]"
Nurarihyon no Mago,7.34,1983,4369,5690,"3,686",18,One-shot,Unknown,1,Finished,2006,"['Action', 'Adventure']",['Historical'],Shounen,Akamaru Jump,"Shiibashi, Hiroshi (Story & Art)",1,"[1, 0, 0]"
Hotel: since 2079,7.34,2495,4396,4762,"4,486",45,One-shot,Unknown,1,Finished,2004,"['Drama', 'Sci-Fi']",[],Seinen,,Boichi (Story & Art),4,"[3, 1, 0]"
Mahoutsukai to Koi no Biyaku,7.33,1306,4418,8615,"2,252",9,One-shot,Unknown,1,Finished,"Nov  10, 2011","['Drama', 'Fantasy', 'Romance']",[],Shoujo,Shiro LaLa,"Toyota, Yuu (Story & Art)",0,"[0, 0, 0]"
Full Metal Alchemist: Prototype,7.33,2487,4419,3576,"6,104",42,One-shot,Unknown,1,Finished,"Jun  10, 2011","['Action', 'Adventure', 'Drama', 'Fantasy']",[],Shounen,Shounen Gangan,"Arakawa, Hiromu (Story & Art)",3,"[3, 0, 0]"
Nekomori-kun no Himitsu no Tobira,7.33,1353,4420,8833,"2,187",5,One-shot,Unknown,1,Finished,"Mar  19, 2011",['Romance'],['School'],Shoujo,Hana to Yume,"Tsutsumi, Kakeru (Story & Art)",3,"[2, 1, 0]"
Suki nan desu,7.33,1943,4507,6247,"3,320",5,One-shot,Unknown,1,Finished,2008,[],[],Shoujo,,"Isero, Ayana (Story & Art)",2,"[2, 0, 0]"
"Haikei, Nanashi-sama",7.33,2022,4509,5980,"3,486",7,One-shot,Unknown,1,Finished,"Nov  5, 2008",['Romance'],['School'],Shoujo,Sho-Comi,"Naoda, Tsuboko (Story & Art)",2,"[2, 0, 0]"
Souten no Koumori,7.32,2455,4518,4876,"4,370",13,One-shot,Unknown,1,Finished,2006,['Action'],"['Historical', 'Martial Arts']",Shounen,Shounen Gangan,"Arakawa, Hiromu (Story & Art)",2,"[2, 0, 0]"
Gimmick,7.32,2908,4548,4182,"5,210",13,One-shot,Unknown,1,Finished,"Apr  22, 2009",['Boys Love'],[],,Daria,"Rui, Someya (Story & Art)",4,"[2, 2, 0]"
Ookami Lover,7.32,2185,4553,5600,"3,752",8,One-shot,Unknown,1,Finished,"Jul  18, 2007","['Comedy', 'Romance']",['School'],Shoujo,Ribon Special,"Momoyama, Anzu (Story & Art)",4,"[4, 0, 0]"
Kuroori-hime to Kawaki no Ou,7.32,2693,4565,4572,"4,688",12,One-shot,Unknown,1,Finished,2011,"['Adventure', 'Fantasy', 'Romance']",[],Shoujo,The Hana to Yume,"Kusanagi, Mizuho (Story & Art)",1,"[1, 0, 0]"
Henshin Ganbou!,7.31,7594,4631,1780,"11,844",90,One-shot,Unknown,1,Finished,"Aug  11, 2014","['Comedy', 'Romance', 'Sports']","['School', 'Team Sports']",Shounen,Shounen Jump (Weekly),"NISIO, ISIN (Story), Miyokawa, Masaru (Art)",3,"[3, 0, 0]"
Wasureyuki,7.31,2465,4652,5010,"4,244",17,One-shot,Unknown,1,Finished,2011,['Drama'],[],Shoujo,Shiro LaLa,"Amano, Shinobu (Story & Art)",5,"[5, 0, 0]"
Koibito Tutorial,7.31,790,4659,13099,"1,295",9,One-shot,Unknown,1,Finished,"Dec  29, 2023",['Romance'],['School'],,Comic Days,"Kyoutani, Toto (Story & Art)",0,"[0, 0, 0]"
Rookies: Yume no Tsuzuki,7.30,683,4752,13184,"1,284",1,One-shot,Unknown,1,Finished,"May  28, 2009",['Sports'],"['School', 'Team Sports']",Seinen,Young Jump,"Morita, Masanori (Story & Art)",1,"[0, 1, 0]"
SKET Dance,7.30,1316,4755,7814,"2,539",146,One-shot,Unknown,1,Finished,"Aug  28, 2006","['Comedy', 'Drama']",['School'],Shounen,Shounen Jump (Weekly),"Shinohara, Kenta (Story & Art)",1,"[1, 0, 0]"
Kawaii Oresama,7.30,1695,4788,7127,"2,838",6,One-shot,Unknown,1,Finished,"May  20, 2006",[],[],Shoujo,Sho-Comi,"Amano, Maron (Story & Art)",2,"[2, 0, 0]"
Shiro no Keiyaku,7.30,1895,4804,6374,"3,241",2,One-shot,Unknown,1,Finished,"Aug  9, 2008",[],[],Shoujo,LaLa DX,"Tsukuba, Sakura (Story & Art)",2,"[1, 1, 0]"
Liv,7.29,2904,4834,4333,"5,015",84,One-shot,Unknown,1,Finished,"Jan  1, 2018","['Drama', 'Romance', 'Supernatural']",[],,Gangan Online,"Kariki, Hajime (Story & Art)",3,"[3, 0, 0]"
