Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Tsuki no Yoru,6.19,321,18613,19956,678,1,One-shot,Unknown,1,Finished,1993,"['Drama', 'Slice of Life', 'Supernatural']",['Historical'],,,"Taniguchi, Jiro (Story & Art)",0,"[0, 0, 0]"
Virgin Wars,6.19,276,18614,21924,574,0,Manga,2,11,Finished,1998 to ?,"['Comedy', 'Romance']",['School'],Shoujo,Dessert,"Tominaga, Yumi (Story & Art)",1,"[0, 0, 1]"
Nazca (Dimension Movement of Nazca),6.19,159,18615,22440,550,3,Manga,2,8,Finished,1997 to  1999,"['Action', 'Supernatural']",[],Shounen,,"Himekawa, Akira (Story & Art)",0,"[0, 0, 0]"
Horan,6.19,519,18616,16609,913,0,One-shot,Unknown,1,Finished,2007,['Slice of Life'],[],,,"Nekoi, Tsubaki (Story & Art)",0,"[0, 0, 0]"
Atomcat,6.19,629,18617,13705,"1,215",4,Manga,1,7,Finished,Jul  1986 to Feb  1987,['Comedy'],[],,,"Tezuka, Osamu (Story & Art)",0,"[0, 0, 0]"
Ka-i-ka-n♥Spiral,6.19,195,18618,27769,363,1,One-shot,Unknown,1,Finished,"Nov  16, 2004",['Girls Love'],[],,Yuri Shimai,"Izumi, Yuu (Story & Art)",0,"[0, 0, 0]"
Trouble in the Classroom,6.19,243,18619,24586,464,1,One-shot,Unknown,1,Finished,Not available,['Romance'],['School'],Shoujo,,None,0,"[0, 0, 0]"
Boku no Pet,6.19,167,18620,28488,344,0,One-shot,Unknown,1,Finished,Not available,"['Comedy', 'Supernatural']",[],Shoujo,Asuka,"Shinonome, Mizuo (Story & Art)",0,"[0, 0, 0]"
Blust!,6.19,1689,18621,6826,"3,005",2,One-shot,Unknown,1,Finished,"Apr  27, 2009","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",[],Shounen,Shounen Jump (Weekly),"Murata, Yusuke (Story & Art)",1,"[0, 1, 0]"
Zeus,6.18,708,18645,13111,"1,292",4,Manga,2,3,Finished,Oct  1997 to Sep  1998,"['Action', 'Boys Love', 'Fantasy']",['Psychological'],,,"Higuri, You (Story & Art)",0,"[0, 0, 0]"
