Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Yomawari Sensei,8.26,2641,352,1336,15319,227,Manga,9,45,Finished,"[""'Drama'"", ""'Psychological'"", ""'School'""]",Seinen,Ikki,"[""'Mizutani,Osamu'"", ""'Tsuchida,Seiki'""]",2004-10-25,2008-12-25,8,7,1,0
Katanagatari (Katanagatari: Sword Tale),8.26,1576,353,2702,8013,115,Light Novel,12,55,Finished,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Romance'"", ""'Samurai'""]",,,"[""'NISIO,ISIN'"", ""'Take'""]",2007-01-09,2007-12-04,2,1,1,0
Hachimitsu to Clover (Honey and Clover),8.26,6722,354,772,24585,951,Manga,10,71,Finished,"[""'Award Winning'"", ""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Slice of Life'"", ""'Love Polygon'"", ""'Visual Arts'""]",Josei,Young You,"[""'Umino,Chica'""]",2000-04-24,2006-07-28,9,7,1,1
Liar Game,8.26,37849,355,117,116935,5438,Manga,19,203,Finished,"[""'Drama'"", ""'High Stakes Game'"", ""'Psychological'"", ""'Strategy Game'""]",Seinen,Young Jump,"[""'Kaitani,Shinobu'""]",2005-02-17,2015-01-22,63,54,4,5
Magi (Magi: The Labyrinth of Magic),8.26,67729,356,77,153844,9834,Manga,37,369,Finished,"[""'Adventure'"", ""'Award Winning'"", ""'Fantasy'""]",Shounen,Shounen Sunday,"[""'Ohtaka,Shinobu'""]",2009-06-03,2017-10-11,48,41,4,3
Yuki no Yousei (Snow Fairy),8.26,1693,357,5508,3819,93,Manga,1,7,Finished,"[""'Boys Love'""]",,Canna Comics,"[""'Serizawa,Tomo'""]",2021-07-16,2022-01-07,2,2,0,0
SSS-Class Revival Hunter,8.26,15654,358,462,39383,1272,Manhwa,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Time Travel'""]",,KakaoPage,"[""'Bill K,Sinnoa'""]",2020-12-31,Updating,17,14,2,1
Leviathan,8.26,5373,359,1622,12956,308,Manhwa,3,111,Finished,"[""'Action'"", ""'Fantasy'"", ""'Survival'""]",,Toomics,"[""'Noh,Miyoung'"", ""'Lee,Gyuntak'""]",2018-03-12,2022-04-01,10,8,2,0
Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu (The Person in a Villainess),8.26,2290,360,3143,6932,141,Manga,3,16,Publishing,"[""'Drama'"", ""'Villainess'""]",,Comic Lake,"[""'Shiraume,Nazuna'"", ""'Makiburo'""]",2021-11-19,Updating,4,2,1,1
Saiyuuki Gaiden,8.25,2926,361,1925,10916,265,Manga,4,35,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",,GFantasy,"[""'Minekura,Kazuya'""]",1999-05-18,2009-05-16,2,2,0,0
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun (A Certain Scientific Railgun),8.25,10407,362,629,29776,2508,Manga,3,16,Publishing,"[""'Action'"", ""'Comedy'"", ""'Sci-Fi'"", ""'Super Power'""]",,Dengeki Daioh,"[""'Kamachi,Kazuma'"", ""'Fuyukawa,Motoi'""]",2007-02-21,Updating,5,4,0,1
Kuragehime (Princess Jellyfish),8.25,13589,363,407,43479,2139,Manga,17,93,Finished,"[""'Award Winning'"", ""'Comedy'"", ""'Crossdressing'"", ""'Visual Arts'""]",Josei,Kiss,"[""'Higashimura,Akiko'""]",2008-10-25,2017-08-25,25,19,6,0
Sunny,8.25,4233,364,887,21699,662,Manga,6,37,Finished,"[""'Award Winning'"", ""'Drama'""]",Seinen,Ikki,"[""'Matsumoto,Taiyou'""]",2010-12-25,2015-07-27,8,8,0,0
Ansatsu Kyoushitsu (Assassination Classroom),8.25,77470,365,74,159650,6938,Manga,21,187,Finished,"[""'Action'"", ""'Comedy'"", ""'School'""]",Shounen,Shounen Jump (Weekly),"[""'Matsui,Yuusei'""]",2012-07-02,2016-04-25,33,33,0,0
Sword Art Online: Progressive,8.25,7413,366,840,22725,788,Light Novel,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Romance'"", ""'Video Game'""]",,Dengeki Bunko Magazine,"[""'BUNBUN,Kawahara'"", ""'Reki'""]",2012-10-10,Updating,12,11,1,0
Feng Shen Ji III,8.25,5180,367,1930,10895,108,Manhua,3,80,Finished,"[""'Action'"", ""'Fantasy'"", ""'Supernatural'"", ""'Historical'"", ""'Martial Arts'""]",Seinen,,"[""'Deng,Zhi Hui'"", ""'Zheng,Jian He'"", ""'Cheng,Kin Wo'""]",2012-01-01,2014-01-01,3,3,0,0
No.6,8.24,18059,368,346,49622,2289,Manga,9,35,Finished,"[""'Action'"", ""'Drama'"", ""'Mystery'"", ""'Sci-Fi'""]",Shoujo,ARIA,"[""'Asano,Atsuko'"", ""'Kino,Hinoki'""]",2011-01-28,2013-11-28,16,13,1,2
Feng Shen Ji II,8.24,6976,369,1514,13698,153,Manhua,3,64,Finished,"[""'Action'"", ""'Fantasy'"", ""'Supernatural'"", ""'Historical'"", ""'Martial Arts'""]",,,"[""'Deng,Zhi Hui'"", ""'Zheng,Jian He'"", ""'Cheng,Kin Wo'""]",2011-01-01,2012-01-01,2,2,0,0
Kishuku Gakkou no Juliet (Boarding School Juliet),8.24,28234,370,266,62258,2881,Manga,16,121,Finished,"[""'Action'"", ""'Comedy'"", ""'Romance'"", ""'School'""]",Shounen,Shounen Magazine (Weekly),"[""'Kaneda,Yousuke'""]",2015-07-09,2019-09-04,35,32,2,1
Koimonogatari (Koimonogatari: Love Stories),8.24,3597,371,1354,15169,405,Manga,3,16,Publishing,"[""'Boys Love'"", ""'Drama'"", ""'Slice of Life'"", ""'School'""]",,RuTile,"[""'Tagura,Tohru'""]",2013-05-22,Updating,6,6,0,0
Taishou Otome Otogibanashi,8.24,10939,372,738,25535,733,Manga,5,42,Finished,"[""'Comedy'"", ""'Romance'"", ""'Slice of Life'"", ""'Historical'""]",Shounen,Jump SQ.,"[""'Kirioka,Sana'""]",2015-07-04,2017-09-04,12,10,1,1
Initial D,8.24,9984,373,607,30534,1549,Manga,48,724,Finished,"[""'Action'"", ""'Drama'"", ""'Racing'""]",Seinen,Young Magazine (Weekly),"[""'Shigeno,Shuuichi'""]",1995-06-26,2013-07-29,7,7,0,0
Planetes,8.24,17759,374,293,57371,1798,Manga,4,27,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Sci-Fi'"", ""'Slice of Life'"", ""'Adult Cast'"", ""'Psychological'"", ""'Space'"", ""'Workplace'""]",Seinen,Morning,"[""'Yukimura,Makoto'""]",1999-01-14,2004-01-08,23,20,2,1
JoJo no Kimyou na Bouken Part 6: Stone Ocean (JoJo's Bizarre Adventure Part 6: Stone Ocean),8.24,136143,375,36,206720,11449,Manga,17,158,Finished,"[""'Action'"", ""'Adventure'""]",Shounen,Shounen Jump (Weekly),"[""'Araki,Hirohiko'""]",1999-12-07,2003-04-08,59,52,2,5
Hikari to Tomo ni...: Jiheishouji wo Kakaete (With the Light: Raising an Autistic Child),8.24,853,376,3672,5929,140,Manga,15,92,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Slice of Life'"", ""'Childcare'"", ""'Psychological'""]",Josei,For Mrs.,"[""'Tobe,Keiko'""]",2000-09-28,2009-04-03,8,8,0,0
Hidamari ga Kikoeru: Limit (I Hear the Sunspot: Limit),8.24,3079,377,2948,7353,103,Manga,3,19,Finished,"[""'Boys Love'"", ""'Slice of Life'""]",,Canna,"[""'Fumino,Yuki'""]",2016-10-22,2019-12-27,2,2,0,0
Boku no Kokoro no Yabai Yatsu (The Dangers in My Heart),8.24,18757,378,316,54792,2335,Manga,3,16,Publishing,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Shounen,Manga Cross,"[""'Sakurai,Norio'""]",2018-03-08,Updating,24,20,3,1
Act-age,8.23,15960,379,327,51984,1743,Manga,12,123,Discontinued,"[""'Drama'"", ""'Performing Arts'"", ""'Showbiz'""]",Shounen,Shounen Jump (Weekly),"[""'Matsuki,Tatsuya'"", ""'Usazaki,Shiro'""]",2018-01-22,2020-08-11,33,28,5,0
Jigokuraku (Hell's Paradise: Jigokuraku),8.23,70480,380,60,169045,6667,Manga,13,128,Finished,"[""'Action'"", ""'Fantasy'"", ""'Historical'""]",Shounen,Shounen Jump+,"[""'Kaku,Yuuji'""]",2018-01-22,2021-01-25,61,50,8,3
King's Maker,8.23,4661,381,1683,12517,297,Manhwa,3,38,Finished,"[""'Boys Love'"", ""'Drama'"", ""'Fantasy'""]",,Lezhin Comics Webtoon,"[""'Haga,Kang'"", ""'Ji-young'""]",2017-04-25,2017-11-14,6,5,0,1
Urasekai Picnic (Otherside Picnic),8.23,658,382,6824,3005,163,Novel,3,16,Publishing,"[""'Adventure'"", ""'Fantasy'"", ""'Mystery'"", ""'Suspense'"", ""'Isekai'"", ""'Survival'""]",,,"[""'Miyazawa,Iori'"", ""'shirakaba'""]",2017-02-23,Updating,3,2,1,0
"Mata, Onaji Yume wo Miteita (I Had That Same Dream Again)",8.23,1145,383,5616,3740,112,Novel,1,11,Finished,"[""'Drama'""]",,,"[""'Sumino,Yoru'""]",2016-02-17,2016-02-17,4,4,0,0
Danshi Koukousei no Nichijou (The Daily Lives of High School Boys),8.23,8776,384,727,25984,423,Manga,7,138,Finished,"[""'Comedy'"", ""'Gag Humor'"", ""'School'""]",,Gangan Online,"[""'Yamauchi,Yasunobu'""]",2009-05-21,2012-09-27,7,7,0,0
Petshop of Horrors,8.23,10547,385,540,34201,1489,Manga,10,41,Finished,"[""'Comedy'"", ""'Fantasy'"", ""'Horror'"", ""'Mystery'"", ""'Supernatural'""]",Josei,Horror M,"[""'Akino,Matsuri'""]",1995-01-01,1998-01-01,15,15,0,0
Shonan Junai Gumi! (GTO: The Early Years),8.23,7626,386,838,22766,768,Manga,31,267,Finished,"[""'Action'"", ""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Delinquents'"", ""'School'""]",Shounen,Shounen Magazine (Weekly),"[""'Fujisawa,Tooru'""]",1990-09-26,1996-09-18,10,9,0,1
Rookies,8.23,6519,387,775,24516,550,Manga,24,233,Finished,"[""'Comedy'"", ""'Drama'"", ""'Slice of Life'"", ""'Sports'"", ""'Delinquents'"", ""'School'"", ""'Team Sports'""]",Shounen,Shounen Jump (Weekly),"[""'Morita,Masanori'""]",1998-02-03,2003-08-25,9,9,0,0
Akagami no Shirayuki-hime (Snow White with the Red Hair),8.23,21324,388,227,71621,2884,Manga,3,16,Publishing,"[""'Drama'"", ""'Fantasy'"", ""'Romance'""]",Shoujo,LaLa DX,"[""'Akizuki,Sorata'""]",2006-08-10,Updating,21,17,3,1
Kamigami no Itadaki (The Summit of the Gods),8.23,2550,389,1259,16000,289,Manga,5,47,Finished,"[""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Mystery'"", ""'Sports'""]",Seinen,Business Jump,"[""'Yumemakura,Baku'"", ""'Taniguchi,Jiro'""]",2000-02-01,2003-03-01,8,8,0,0
Diamond no Ace (Ace of the Diamond),8.23,10129,390,783,24340,988,Manga,47,418,Finished,"[""'Award Winning'"", ""'Sports'"", ""'School'"", ""'Team Sports'""]",Shounen,Shounen Magazine (Weekly),"[""'Terajima,Yuuji'""]",2006-05-17,2015-07-15,3,3,0,0
Yuru Yuri,8.23,3750,391,1352,15178,757,Manga,3,16,Publishing,"[""'Comedy'"", ""'Girls Love'"", ""'CGDCT'"", ""'Gag Humor'"", ""'School'""]",,Comic Yuri Hime,"[""'Namori'""]",2008-06-18,Updating,1,1,0,0
Beastars,8.23,53075,392,124,113833,7054,Manga,22,196,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Slice of Life'"", ""'Anthropomorphic'"", ""'Psychological'""]",Shounen,Shounen Champion (Weekly),"[""'Itagaki,Paru'""]",2016-09-08,2020-10-08,74,51,13,10
Kaichou wa Maid-sama!: Marriage,8.23,6815,393,1160,17010,193,Manga,1,7,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Shoujo,LaLa DX,"[""'Fujiwara,Hiro'""]",2013-11-08,2018-04-24,3,0,3,0
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka (Is It Wrong to Try to Pick Up Girls in a Dungeon?),8.23,8402,394,618,30192,1099,Light Novel,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",,,"[""'Yasuda,Suzuhito'"", ""'Omori,Fujino'""]",2013-01-15,Updating,8,8,0,0
Hai to Gensou no Grimgar (Grimgar of Fantasy and Ash),8.23,4361,395,833,22859,770,Light Novel,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Drama'"", ""'Fantasy'"", ""'Isekai'""]",,,"[""'Jyumonji,Ao'"", ""'Shirai,Eiri'""]",2013-06-25,Updating,15,13,0,2
Yugami-kun ni wa Tomodachi ga Inai (He does not have any friends.),8.22,9858,396,628,29820,1252,Manga,16,81,Finished,"[""'Comedy'"", ""'Slice of Life'"", ""'School'""]",Shounen,Shounen Sunday,"[""'Sakura,Jun'""]",2012-05-25,2019-05-22,32,30,1,1
Steins;Gate: Aishin Meizu no Babel,8.22,1426,397,4656,4600,60,Manga,4,19,Finished,"[""'Adventure'"", ""'Sci-Fi'""]",Seinen,Ultra Jump,"[""'Nitroplus,Naruse'"", ""'Yoshiki'""]",2012-05-19,2014-01-18,3,3,0,0
Ghost Hunt,8.22,5788,398,1211,16393,500,Manga,12,43,Finished,"[""'Drama'"", ""'Horror'"", ""'Mystery'"", ""'Romance'"", ""'Supernatural'"", ""'Psychological'""]",Shoujo,Nakayoshi,"[""'Inada,Shiho'"", ""'Ono,Fuyumi'""]",1997-12-06,2010-09-30,9,8,1,0
Eden: It's an Endless World!,8.22,14099,399,263,62966,2141,Manga,18,127,Finished,"[""'Action'"", ""'Drama'"", ""'Sci-Fi'"", ""'Suspense'"", ""'Gore'"", ""'Psychological'""]",Seinen,Afternoon,"[""'Endo,Hiroki'""]",1997-09-25,2008-06-25,17,14,0,3
Boogiepop Series,8.22,1505,400,1850,11429,349,Light Novel,3,16,Publishing,"[""'Horror'"", ""'Mystery'"", ""'Psychological'""]",,,"[""'Kadono,Kouhei'"", ""'Ogata,Kouji'""]",1998-02-10,Updating,5,5,0,0
Sanctuary,8.22,9110,401,524,35280,965,Manga,12,108,Finished,"[""'Drama'"", ""'Suspense'"", ""'Detective'"", ""'Organized Crime'""]",Seinen,Big Comic Superior,"[""'Ikegami,Ryouichi'"", ""'Buronson'""]",1990-01-01,1995-01-01,17,11,3,3
Cat Street,8.22,14654,402,536,34369,1027,Manga,8,36,Finished,"[""'Drama'"", ""'Romance'"", ""'Love Polygon'"", ""'Showbiz'""]",Shoujo,Bessatsu Margaret,"[""'Kamio,Yoko'""]",2004-07-13,2007-09-13,27,23,3,1
GTO: Shonan 14 Days (GTO: 14 Days in Shonan),8.22,10549,403,754,25012,263,Manga,9,77,Finished,"[""'Action'"", ""'Comedy'"", ""'Drama'"", ""'Ecchi'"", ""'Delinquents'""]",Shounen,Shounen Magazine (Weekly),"[""'Fujisawa,Tooru'""]",2009-06-10,2011-11-16,4,2,2,0
Private Opinion: Banana Fish Another Story,8.22,1367,404,4733,4517,56,Manga,1,2,Finished,"[""'Action'"", ""'Drama'""]",Shoujo,Betsucomi,"[""'Yoshida,Akimi'""]",1995-12-13,1995-12-13,3,2,1,0
Genshiken,8.21,13373,405,429,41641,2035,Manga,21,127,Finished,"[""'Comedy'"", ""'Drama'"", ""'Slice of Life'"", ""'Otaku Culture'"", ""'School'""]",Seinen,Afternoon,"[""'Kio,Shimoku'""]",2002-04-25,2016-08-25,16,16,0,0
Hourou Musuko (Wandering Son),8.21,9202,406,617,30213,1297,Manga,15,123,Finished,"[""'Drama'"", ""'Romance'"", ""'School'""]",Seinen,Comic Beam,"[""'Shimura,Takako'""]",2002-11-12,2013-07-12,22,14,6,2
7 Seeds,8.21,5535,407,779,24468,816,Manga,35,178,Finished,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Horror'"", ""'Mystery'"", ""'Romance'"", ""'Sci-Fi'"", ""'Suspense'"", ""'Psychological'"", ""'Survival'""]",Shoujo,Flowers (Monthly),"[""'Tamura,Yumi'""]",2001-10-13,2017-05-27,19,17,1,1
Silver Diamond,8.21,2811,408,2525,8491,290,Manga,27,82,Finished,"[""'Adventure'"", ""'Boys Love'"", ""'Fantasy'"", ""'Isekai'""]",Shoujo,Ichiraci,"[""'Sugiura,Shiho'""]",2003-08-20,2012-05-20,6,6,0,0
Solanin,8.21,50605,409,106,123161,5568,Manga,2,28,Finished,"[""'Drama'"", ""'Slice of Life'""]",Seinen,Young Sunday (Weekly),"[""'Asano,Inio'""]",2005-06-30,2006-04-06,46,40,3,3
Crows,8.21,8680,410,679,27576,1032,Manga,26,98,Finished,"[""'Action'"", ""'Delinquents'"", ""'School'""]",Shounen,Shounen Champion (Monthly),"[""'Takahashi,Hiroshi'""]",1990-01-01,1998-01-01,9,8,0,1
Tsurezure Children (Tsuredure Children),8.21,23523,411,284,59573,1834,Manga,12,212,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",Shounen,Shounen Magazine (Weekly),"[""'Wakabayashi,Toshiya'""]",2014-08-09,2018-07-11,11,10,0,1
Semantic Error,8.21,2972,412,2850,7646,225,Manhwa,3,95,Finished,"[""'Boys Love'""]",,,"[""'J. Soori,Angy'""]",2020-07-27,2023-10-27,5,5,0,0
See You in My 19th Life,8.21,5312,413,1819,11595,302,Manhwa,12,114,Finished,"[""'Romance'"", ""'Reincarnation'""]",,Naver Webtoon,"[""'Lee,Hye'""]",2020-06-05,2022-09-24,7,6,1,0
Pick Me Up,8.21,6191,414,1119,17631,314,Manhwa,3,16,Publishing,"[""'Action'"", ""'Fantasy'"", ""'Isekai'"", ""'Video Game'""]",,KakaoPage,"[""'Wasakbasak,Hermod'""]",2022-12-28,Updating,8,8,0,0
Taiyou no Ie (House of the Sun),8.21,39042,415,156,95151,3443,Manga,13,53,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Romance'""]",Shoujo,Dessert,"[""'Taamo'""]",2010-04-24,2015-05-23,36,34,2,0
"Tadaima, Okaeri",8.21,2218,416,3262,6676,137,Manga,3,16,Publishing,"[""'Boys Love'"", ""'Slice of Life'"", ""'Childcare'""]",,Omegaverse Project,"[""'Ichikawa,Ichi'""]",2015-11-24,Updating,1,1,0,0
NieR:Automata,8.21,2105,417,1712,12244,259,Novel,3,30,Finished,"[""'Action'"", ""'Fantasy'"", ""'Sci-Fi'""]",,,"[""'Eishima,Jun'"", ""'Yoko,Taro'""]",2017-08-05,2018-07-27,3,2,1,0
Summertime Render (Summertime Rendering),8.21,16234,418,321,53056,1152,Manga,13,139,Finished,"[""'Mystery'"", ""'Supernatural'"", ""'Suspense'"", ""'Time Travel'""]",Shounen,Shounen Jump+,"[""'Tanaka,Yasuki'""]",2017-10-23,2021-02-01,18,12,5,1
A Stepmother's Märchen,8.21,5373,419,1234,16190,480,Manhwa,3,16,Publishing,"[""'Drama'"", ""'Fantasy'"", ""'Romance'"", ""'Time Travel'""]",,KakaoPage,"[""'Nyangi-wa Hyangsinnyo,ORKA'""]",2019-07-04,Updating,7,6,1,0
Boku ga Otto ni Deau made (Until I Meet My Husband),8.21,3176,420,2986,7263,108,Manga,1,7,Finished,"[""'Boys Love'"", ""'Drama'"", ""'Memoir'""]",,Bunshun Online,"[""'Tsukizuki,Yoshi'"", ""'Nanasaki,Ryousuke'""]",2020-04-29,2021-02-10,3,3,0,0
Ren Zha Fanpai Zijiu Xitong (The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong),8.2,1703,421,6109,3406,249,Novel,3,16,Finished,"[""'Boys Love'"", ""'Drama'"", ""'Supernatural'"", ""'Historical'"", ""'Isekai'"", ""'Mythology'"", ""'Reincarnation'""]",,,"[""'Mo Xiang Tong Xiu'""]",2017-07-24,2017-07-24,2,1,1,0
Dead Dead Demons Dededede Destruction,8.2,16212,422,200,78987,2475,Manga,12,101,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Sci-Fi'"", ""'School'""]",Seinen,Big Comic Spirits,"[""'Asano,Inio'""]",2014-04-28,2022-02-28,30,23,5,2
Bishoujo Senshi  (Sailor Moon),8.2,25050,423,298,56586,4596,Manga,18,61,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Fantasy'"", ""'Romance'"", ""'Mahou Shoujo'""]",Shoujo,Nakayoshi,"[""'Takeuchi,Naoko'""]",1991-12-28,1997-02-03,20,14,2,4
Meteor Methuselah (Immortal Rain),8.2,6063,424,952,20137,693,Manga,11,61,Finished,"[""'Action'"", ""'Adventure'"", ""'Drama'"", ""'Fantasy'"", ""'Romance'""]",Shoujo,Wings,"[""'Ozaki,Kaori'""]",1998-08-26,2011-05-25,15,14,0,1
Saiyuuki Reload (Saiyuki Reload),8.2,3176,425,2533,8479,230,Manga,10,66,Finished,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Fantasy'""]",Josei,Comic ZERO-SUM,"[""'Minekura,Kazuya'""]",2002-03-28,2009-06-27,1,1,0,0
The Ravages of Time,8.2,1894,426,1397,14727,452,Manhua,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Historical'"", ""'Military'""]",,,"[""'Chan,Mou'""]",2001-06-15,Updating,10,10,0,0
Toradora!,8.2,8631,427,670,28021,771,Light Novel,10,62,Finished,"[""'Drama'"", ""'Romance'"", ""'Love Polygon'"", ""'School'""]",,,"[""'Takemiya,Yuyuko'"", ""'Yasu'""]",2006-03-10,2009-03-10,3,3,0,0
Tasogare Otome x Amnesia (Dusk Maiden of Amnesia),8.2,18819,428,362,48212,1667,Manga,10,54,Finished,"[""'Horror'"", ""'Mystery'"", ""'Romance'"", ""'Supernatural'"", ""'School'""]",Shounen,Gangan Joker,"[""'Maybe'""]",2008-04-22,2013-09-21,14,12,2,0
Non Non Biyori,8.2,3111,429,1675,12579,436,Manga,16,125,Finished,"[""'Slice of Life'"", ""'CGDCT'"", ""'Iyashikei'"", ""'School'""]",Seinen,Comic Alive,"[""'Atto'""]",2009-09-26,2021-02-26,1,1,0,0
Majo no Tabitabi (Wandering Witch: The Journey of Elaina),8.2,2186,430,1787,11792,470,Light Novel,3,16,Publishing,"[""'Adventure'"", ""'Fantasy'""]",,,"[""'Azure,Shiraishi'"", ""'Jougi'""]",2016-04-15,Updating,7,7,0,0
Majo to Yajuu (The Witch and the Beast),8.2,3156,431,1046,18863,428,Manga,10,58,On Hiatus,"[""'Action'"", ""'Fantasy'""]",Seinen,Young Magazine (Monthly),"[""'Satake,Kousuke'""]",2016-11-05,2023-01-22,10,9,1,0
Steins;Gate 0,8.2,1536,432,3979,5473,95,Manga,6,41,Finished,"[""'Drama'"", ""'Mystery'"", ""'Sci-Fi'""]",Seinen,Young Ace,"[""'Himeno,Taka'""]",2017-07-04,2020-02-04,1,1,0,0
Make Heroine ga Oosugiru! (Too Many Losing Heroines!),8.2,748,433,5028,4222,137,Light Novel,3,16,Publishing,"[""'Comedy'"", ""'Romance'"", ""'School'""]",,,"[""'Imigi,Muru'"", ""'Amamori,Takibi'""]",2021-07-21,Updating,6,4,2,0
Hikaru ga Shinda Natsu (The Summer Hikaru Died),8.2,8341,434,400,43937,1485,Manga,3,16,Publishing,"[""'Horror'"", ""'Mystery'"", ""'Supernatural'""]",,Young Ace UP,"[""'Mokumokuren'""]",2021-08-31,Updating,13,12,1,0
Aku no Hana (The Flowers of Evil),8.2,79994,435,64,166535,12495,Manga,11,58,Finished,"[""'Drama'"", ""'Romance'"", ""'Psychological'"", ""'School'""]",Shounen,Bessatsu Shounen Magazine,"[""'Oshimi,Shuuzou'""]",2009-09-09,2014-05-09,86,64,15,7
Hirunaka no Ryuusei (Daytime Shooting Star),8.19,43693,436,158,94747,5600,Manga,12,86,Finished,"[""'Romance'"", ""'Love Polygon'"", ""'School'""]",Shoujo,Margaret,"[""'Yamamori,Mika'""]",2011-05-20,2014-11-05,65,48,10,7
Date A Live,8.19,6118,437,990,19548,1864,Light Novel,22,146,Finished,"[""'Romance'"", ""'Sci-Fi'"", ""'Harem'"", ""'Mecha'"", ""'School'""]",,,"[""'Tachibana,Koushi'"", ""'Tsunako'""]",2011-03-19,2020-03-19,10,8,0,2
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,8.19,3114,438,1342,15287,368,Light Novel,12,125,Finished,"[""'Action'"", ""'Comedy'"", ""'Fantasy'"", ""'Supernatural'"", ""'Isekai'""]",,,"[""'Tatsunoko,Tarou'"", ""'Amano,Yuu'""]",2011-04-01,2015-04-01,2,2,0,0
Rokka no Yuusha (Rokka: Braves of the Six Flowers),8.19,2666,439,1398,14718,399,Light Novel,6,46,On Hiatus,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Mystery'""]",,,"[""'Yamagata,Ishio'"", ""'Terui'""]",2011-08-25,2015-07-24,3,3,0,0
Innocent,8.19,16856,440,265,62282,2027,Manga,9,99,Finished,"[""'Drama'"", ""'Historical'""]",Seinen,Young Jump,"[""'Sakamoto,Shinichi'""]",2013-01-31,2015-04-16,27,15,10,2
Cheese in the Trap Season 4,8.19,4233,441,2397,8880,183,Manhwa,7,29,Finished,"[""'Comedy'"", ""'Mystery'"", ""'Romance'"", ""'Slice of Life'"", ""'School'""]",,Naver Webtoon,"[""'Soonkki'""]",2015-09-02,2017-03-29,2,2,0,0
Why Raeliana Ended Up at the Duke's Mansion,8.19,18567,442,461,39440,1172,Manhwa,3,158,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Isekai'"", ""'Reincarnation'""]",,KakaoPage,"[""'Milcha,Gorae'""]",2017-09-03,2021-03-22,11,9,1,1
Your Throne,8.19,8269,443,776,24514,760,Manhwa,3,16,Publishing,"[""'Drama'"", ""'Fantasy'"", ""'Romance'""]",,Naver Webtoon,"[""'SAM'""]",2020-01-06,Updating,12,6,4,2
Romance 101,8.19,2630,444,3287,6629,244,Manhwa,11,152,Finished,"[""'Comedy'"", ""'Romance'"", ""'School'""]",,Naver Webtoon,"[""'Namsu'""]",2018-03-12,2021-05-25,5,5,0,0
Gimai Seikatsu (Days with My Stepsister),8.19,2740,445,1727,12159,535,Light Novel,3,16,Publishing,"[""'Romance'"", ""'Slice of Life'""]",,,"[""'Mikawa,Ghost'"", ""'Hiten'""]",2021-01-25,Updating,9,8,1,0
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san (Alya Sometimes Hides Her Feelings in Russian),8.19,4499,446,1094,18022,923,Light Novel,3,16,Publishing,"[""'Comedy'"", ""'Romance'"", ""'School'""]",,,"[""'Momoco,Sun Sun'"", ""'Sun'""]",2021-02-27,Updating,12,9,1,2
Amayo no Tsuki (The Moon on a Rainy Night),8.19,1321,447,3715,5856,122,Manga,3,16,Publishing,"[""'Drama'"", ""'Girls Love'"", ""'School'""]",,Comic Days,"[""'Kuzushiro'""]",2021-06-12,Updating,3,3,0,0
Historie (Historié),8.19,6505,448,732,25890,512,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Historical'""]",Seinen,Afternoon,"[""'Iwaaki,Hitoshi'""]",2003-01-25,Updating,11,10,1,0
Dr. Stone,8.19,94852,449,40,197066,10033,Manga,27,237,Finished,"[""'Adventure'"", ""'Award Winning'"", ""'Sci-Fi'"", ""'Survival'""]",Shounen,Shounen Jump (Weekly),"[""'Inagaki,Riichiro'"", ""'Boichi'""]",2017-03-06,2023-12-25,74,57,10,7
