Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Road to Ninja: Naruto the Movie,7.03,295,8418,16686,906,2,Light Novel,1,16,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Isekai'""]",Shounen,,"[""'Kishimoto,Masashi'"", ""'Miyata,Yuka'""]",2012-07-27,2012-07-27,0,0,0,0
Tensei Oujo wa Kyou mo Flag wo Tatakioru (The Reincarnated Princess Spends Another Day Skipping Story Routes),7.03,195,8419,17597,833,2,Light Novel,3,16,Publishing,"[""'Fantasy'"", ""'Romance'"", ""'Villainess'""]",,,"[""'Yukiko,Bisu'""]",2015-07-10,Updating,0,0,0,0
Ichijou Kaname to wa Kakawaranai,7.03,663,8420,10114,1833,11,Manga,2,11,Finished,"[""'Romance'"", ""'Supernatural'"", ""'School'"", ""'Time Travel'""]",Shoujo,Hana to Yume,"[""'Misaki,Yuu'""]",2016-04-20,2017-01-25,1,1,0,0
100-man no Inochi no Ue ni Ore wa Tatteiru (I'm Standing on a Million Lives),7.03,3348,8421,1532,13582,103,Manga,3,16,Publishing,"[""'Action'"", ""'Drama'"", ""'Fantasy'"", ""'Isekai'"", ""'Strategy Game'""]",Shounen,Bessatsu Shounen Magazine,"[""'Nao,Akinari'"", ""'Yamakawa,Naoki'""]",2016-06-09,Updating,6,5,0,1
Mushikaburi-hime (Bibliophile Princess),7.03,155,8422,14655,1101,11,Light Novel,3,16,Publishing,"[""'Drama'"", ""'Fantasy'"", ""'Romance'""]",Josei,,"[""'Shiina,Satsuki'"", ""'Yui'""]",2016-07-01,Updating,0,0,0,0
"Datte, Oishii no ga Warui.",7.03,521,8423,14222,1153,0,Manga,1,5,Finished,"[""'Boys Love'"", ""'Drama'"", ""'Romance'"", ""'Supernatural'""]",,gateau,"[""'Takanashi,Morimichi'""]",2014-11-11,2015-07-30,0,0,0,0
1 cm yori mo Chikaku (Closer Than One Centimeter),7.03,168,8424,21283,607,1,Manga,2,8,Finished,"[""'Romance'"", ""'School'""]",Shoujo,Bessatsu Friend,"[""'Ishizawa,Umi'""]",2016-06-13,2017-01-13,0,0,0,0
Dragon Ball Gaiden: Tensei shitara Yamcha Datta Ken (Dragon Ball: That Time I Got Reincarnated as Yamcha!),7.03,6753,8425,1973,10597,66,Manga,1,5,Finished,"[""'Action'"", ""'Comedy'"", ""'Fantasy'"", ""'Parody'"", ""'Reincarnation'""]",Shounen,Shounen Jump+,"[""'Dragon Garow Lee'""]",2016-12-12,2017-08-14,3,2,1,0
Shi ni Aruki,7.03,509,8426,12117,1435,19,Manga,4,37,Finished,"[""'Horror'"", ""'Mystery'""]",,Ura Sunday,"[""'Ryouko'""]",2016-12-31,2018-06-09,3,3,0,0
Saikyou Mahoushi no Inton Keikaku (The Greatest Magicmaster's Retirement Plan),7.03,338,8427,12143,1431,14,Light Novel,3,16,Publishing,"[""'Action'"", ""'Fantasy'""]",,,"[""'Miyuki,Ruria'"", ""'Izushiro'""]",2017-03-01,Updating,2,0,2,0
Fuku wo Kiru nara Konna Fuu ni (Do it this way if you wear the clothes.),7.03,751,8428,6377,3238,13,Manga,3,16,Publishing,"[""'Slice of Life'""]",,Young Ace UP,"[""'Shimano,Yae'""]",2015-05-27,Updating,1,1,0,0
Shikkakumon no Saikyou Kenja: Sekai Saikyou no Kenja ga Sarani Tsuyokunaru Tame ni Tensei Shimashita,7.03,808,8429,6138,3385,23,Light Novel,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Reincarnation'""]",,,"[""'Shinkou,Shotou'"", ""'Kazabana,Huuka'""]",2017-05-15,Updating,0,0,0,0
Watashi no Kuro-chan,7.03,457,8430,16554,918,4,One-shot,3,1,Finished,"[""'Comedy'"", ""'Slice of Life'""]",Seinen,Fellows!,"[""'Shirahama,Kamome'""]",2011-08-11,2011-08-11,1,1,0,0
Yamanai Fukou no Owarasekata (How to Stop the Never Ending Unhappiness),7.03,177,8431,24459,469,3,Manga,1,6,Finished,"[""'Boys Love'""]",,Magazine Be x Boy,"[""'Takagi,Shigeyoshi'""]",2019-08-07,2020-06-05,0,0,0,0
Tantei Jimusho no Kainushi-sama (The (Pet) Detective Agency),7.03,527,8432,12694,1350,4,Manga,1,7,Finished,"[""'Boys Love'"", ""'Mystery'"", ""'Detective'""]",,Canna,"[""'noji'""]",2020-06-26,2021-06-28,0,0,0,0
Mio no Na no Moto ni (In the Name of the Mermaid Princess),7.03,145,8433,16599,914,7,Manga,7,33,Finished,"[""'Romance'"", ""'Supernatural'""]",Shoujo,Ribon Magazine,"[""'Tashiro,Miya'"", ""'Fumikawa,Yoshino'""]",2020-12-01,2023-03-16,0,0,0,0
Hallelujah Baby,7.03,115,8434,23080,522,5,Manga,3,16,Publishing,"[""'Boys Love'"", ""'School'""]",,Kimikoi,"[""'Kojima,Lalako'""]",2018-03-26,Updating,0,0,0,0
Soul Cartel,7.03,290,8435,19347,715,3,Manhwa,3,223,Finished,"[""'Action'"", ""'Fantasy'""]",,Naver Webtoon,"[""'Jiya,Haram'""]",2012-01-12,2016-04-13,0,0,0,0
The Nuna at Our Office,7.03,844,8436,9760,1917,37,Manhwa,3,65,Finished,"[""'Romance'"", ""'Adult Cast'"", ""'Workplace'""]",,Naver Webtoon,"[""'Palmeiro,Wasakbasak'""]",2020-09-28,2021-11-08,2,0,1,1
Surviving as the Illegitimate Princess,7.03,410,8437,9486,1992,4,Manhwa,3,16,Publishing,"[""'Fantasy'"", ""'Reincarnation'""]",,KakaoPage,"[""'Seo,Gyeol'""]",2022-07-07,Updating,1,0,1,0
Naruto: Sasuke Retsuden - Uchiha no Matsuei to Tenkyuu no Hoshikuzu (Naruto: Sasuke's Story - The Uchiha and the Heavenly Stardust: The Manga),7.03,3729,8438,2885,7514,98,Manga,2,10,Finished,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",Shounen,Shounen Jump+,"[""'Esaka,Jun'"", ""'Kimura,Shingo'""]",2022-10-23,2023-04-23,3,1,1,1
Lottery Princess,7.03,165,8439,16979,881,1,Manhwa,3,16,Publishing,"[""'Fantasy'"", ""'Isekai'"", ""'Reincarnation'"", ""'Time Travel'""]",,Naver Webtoon,"[""'Moon,Sihyun'"", ""'Dohin,Borimyeol'""]",2022-05-12,Updating,1,0,0,1
The Meaning of You,7.03,258,8440,19080,731,3,Manhwa,3,82,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Isekai'""]",,KakaoPage,"[""'Kim,Tilda'"", ""'Lee,Sorok'""]",2020-12-18,2022-08-05,1,1,0,0
My Little Tyrant,7.03,146,8441,17965,805,1,Manhwa,3,92,Finished,"[""'Fantasy'"", ""'Romance'"", ""'Isekai'""]",,KakaoPage,"[""'Cooara,Young'"", ""'Da'""]",2022-10-02,2024-08-27,0,0,0,0
The Crown Prince's Fiancée,7.03,141,8442,17535,837,1,Manhwa,3,16,Publishing,"[""'Fantasy'"", ""'Romance'""]",,KakaoPage,"[""'Yunsul,Lee'"", ""'Huin,Pagaraga'""]",2022-10-31,Updating,0,0,0,0
Corpse Knight Gunther,7.03,149,8443,23828,493,2,Manhwa,3,90,Finished,"[""'Action'"", ""'Fantasy'""]",,Naver Webtoon,"[""'Mayo Nuguri'""]",2022-08-01,2024-06-24,1,1,0,0
Star Player Supporter,7.03,254,8444,14400,1130,6,Manhwa,3,16,Publishing,"[""'Action'"", ""'Fantasy'"", ""'Video Game'""]",,KakaoPage,"[""'La Forte,Honghyeon'""]",2023-03-11,Updating,0,0,0,0
"Amayakasanaide Nakisou dakara (If You Spoil Me That Much, I'm Gonna Cry)",7.03,119,8445,32848,247,1,Manga,1,6,Finished,"[""'Boys Love'""]",,,"[""'Tokita,Honoji'""]",2022-02-26,2022-06-25,0,0,0,0
Harenai Sekai de Kimi dake Mieru,7.03,123,8446,24452,469,1,Manga,3,16,Publishing,"[""'Boys Love'"", ""'Drama'""]",,Chara Selection,"[""'Mikkamita'""]",2023-05-20,Updating,1,1,0,0
