Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Saint Legend,,,37625,55135,65,1,Manhua,43,Unknown,Finished,2000 to  2006,"['Action', 'Supernatural']",[],,,"Seto, Andy (Story & Art)",0,"[0, 0, 0]"
Feng Qiu Huang,,,37940,31651,270,1,Manhua,Unknown,Unknown,Publishing,"Apr  2, 2014 to ?","['Adventure', 'Drama', 'Mystery', 'Romance']",['Historical'],,,"Mao Jun, Xiao Zhou (Story & Art)",0,"[0, 0, 0]"
Lan Xue Hua,,,38529,69832,22,0,Manhua,3,18,Finished,2012 to  2013,"['Adventure', 'Fantasy', 'Romance']",['Isekai'],Shoujo,Mon Mon,"Lin, Qing Hui (Story & Art)",0,"[0, 0, 0]"
Mo Fei Zheng Chuan,,,38579,36372,194,3,Manhua,Unknown,Unknown,Publishing,"Feb  28, 2014 to ?","['Action', 'Adventure', 'Fantasy']",[],,OK!COMIC,Mo Fei (Story & Art),0,"[0, 0, 0]"
Xingkong Club (Starry Night Club),,,38698,31250,278,5,Manhua,20,149,Discontinued,"Dec  24, 2012 to Mar  20, 2016","['Action', 'Adventure', 'Fantasy', 'Romance']",['Crossdressing'],,Sa Man Le Hua,Xue Mao (Story & Art),0,"[0, 0, 0]"
X Girl: Jixian Renwu,,,39353,69845,22,1,Manhua,4,Unknown,Finished,2004 to  2007,['Action'],['Idols (Female)'],Shounen,Dragon Youth,"Chang, Sheng (Story & Art)",0,"[0, 0, 0]"
Xiaochou Danny (Joker Danny),,,39446,31109,281,5,Manhua,2,15,Finished,2012,"['Adventure', 'Fantasy']",[],,,"Moss (Story), Old Xian (Art)",0,"[0, 0, 0]"
Gu Huo Zai (Teddy Boy),,,39567,60778,49,0,Manhua,Unknown,2335,Finished,"Apr  16, 1992 to Apr  30, 2020","['Action', 'Drama']",['Organized Crime'],,,"Ngao, Lo (Story & Art)",0,"[0, 0, 0]"
Sinners,,,39864,38703,166,2,Manhua,Unknown,Unknown,Publishing,"Dec  15, 2015 to ?","['Drama', 'Horror', 'Supernatural']",['Mythology'],Shounen,Dragon Youth,"Xiao, Sha Long (Art), Gui, Yu Zi (Story)",0,"[0, 0, 0]"
Xiao Ao Jianghu,,,40062,71469,15,1,Manhua,26,104,Finished,"May  1, 2002 to May  16, 2004","['Action', 'Adventure']","['Historical', 'Martial Arts']",,,"Lee, Chi Ching (Art), Jin Yong (Story)",0,"[0, 0, 0]"
Bankong De Hua,,,40397,72433,9,0,Manhua,1,9,Finished,2011,['Slice of Life'],[],,,Mint (Story & Art),0,"[0, 0, 0]"
Shui Shen Qi Hui Juan,,,40653,65355,36,0,Manhua,2,12,Finished,"Oct  7, 2011 to May  10, 2013","['Fantasy', 'Romance']",[],Shoujo,Star☆Girls,Puthialt (Story & Art),0,"[0, 0, 0]"
Ten Thousand Kinds of Love,,,40685,32542,253,1,Manhua,3,Unknown,Finished,2012 to  2013,"['Drama', 'Romance', 'Slice of Life']",[],,Comic Fans,"Yang, Xiao Ru (Story & Art)",0,"[0, 0, 0]"
Huan Jing Shaonu Alice,,,41882,42043,135,1,Manhua,1,6,Finished,"Dec  5, 2008 to Sep  5, 2009","['Action', 'Comedy', 'Fantasy']",['Mecha'],Shounen,Dragon Youth,"Xiao, Nai Zhong (Story & Art)",0,"[0, 0, 0]"
Flying Free,,,42684,49569,87,0,Manhua,1,5,Finished,Mar  2012 to May  2012,"['Drama', 'Romance']",[],Shoujo,,"Huang, Jia Li (Story & Art)",0,"[0, 0, 0]"
Wings of Kopule,,,42897,50575,82,0,Manhua,1,Unknown,Finished,2008 to ?,"['Adventure', 'Mystery']",['Historical'],,,AKRU (Story & Art),0,"[0, 0, 0]"
The Beauty in the Haunted Temple,,,43071,52016,76,0,Manhua,1,1,Finished,Not available,"['Fantasy', 'Horror']",[],Seinen,,"Nie, Chongrui (Story & Art)",0,"[0, 0, 0]"
Exorcist,,,43263,45922,107,0,Manhua,Unknown,Unknown,Publishing,2011 to ?,"['Action', 'Fantasy', 'Supernatural']",[],Shounen,,Ricky (Story & Art),0,"[0, 0, 0]"
Top Speed Underground,,,43655,41673,138,0,Manhua,1,8,Finished,2004,"['Action', 'Sports']",['Racing'],,,"Cheung, Man-Wai (Story), Chan, Chung-Ming (Art)",0,"[0, 0, 0]"
Nian Shang x Nian Xia,,,43960,46366,104,0,Manhua,2,13,Finished,2013,['Romance'],['School'],Shoujo,,"Lin, Min Xuan (Story & Art)",0,"[0, 0, 0]"
Hua Cao Guan Xi - Close to You,,,44182,45295,111,0,Manhua,Unknown,Unknown,Publishing,Not available,['Romance'],"['Crossdressing', 'School']",Shoujo,Star☆Girls,"Lai, Ann (Story & Art)",0,"[0, 0, 0]"
Chicken Cutlet Prince,,,44285,41824,137,1,Manhua,Unknown,Unknown,Publishing,2010 to ?,"['Comedy', 'Romance']",[],Shoujo,,"Lin, Min Xuan (Story & Art)",0,"[0, 0, 0]"
Huaixin De Wanghou,,,44544,49765,86,0,Manhua,1,4,Finished,2009,['Comedy'],[],,,"You, Gui Xiu (Story & Art)",0,"[0, 0, 0]"
Bai Fen Bai Ganjue (Feel 100%),,,44737,55499,64,0,Manhua,16,Unknown,Finished,1992 to  2007,"['Comedy', 'Drama', 'Romance']",[],,,"Lau, Wan Kit (Story & Art)",0,"[0, 0, 0]"
Ominous Star,,,45063,55507,64,0,Manhua,2,Unknown,Finished,2011 to  2012,['Fantasy'],[],Shounen,,"Huang, Jun Wei (Story & Art)",0,"[0, 0, 0]"
Galaxy Lover,,,45182,48002,95,0,Manhua,1,5,Finished,Dec  1999 to Jan  2000,"['Romance', 'Sci-Fi']",[],Shoujo,,"Yi, Huan (Story & Art)",0,"[0, 0, 0]"
The Midland Morning Star,,,45262,46383,104,0,Manhua,1,7,Finished,"Jan  1, 2009",['Slice of Life'],['Historical'],Shoujo,,"Xia, Da (Story & Art)",0,"[0, 0, 0]"
Similar,,,45271,33096,243,1,Manhua,1,5,Finished,"Jan  1, 2009","['Romance', 'Slice of Life']",[],Shoujo,,"Xia, Da (Story & Art)",0,"[0, 0, 0]"
Nan Chan Qiao Gu Niang,,,45345,46170,105,1,Manhua,1,4,Finished,1995 to  1999,['Romance'],['Historical'],Shoujo,,"Lin, Qing Hui (Story & Art)",0,"[0, 0, 0]"
Mysteries: Detective Marple,,,45438,58377,55,0,Manhua,2,Unknown,Finished,Apr  2010 to  2011,"['Mystery', 'Romance']",[],,Comic Fans,"Wan, Shiu (Art), Difennilin (Story)",0,"[0, 0, 0]"
Secret Prince Ken,,,45439,56695,60,2,Manhua,3,Unknown,Finished,2011 to  2012,"['Fantasy', 'Romance']",[],Shoujo,Comic Fans,"Wan, Shiu (Art), Xi Mi Gao (Story)",0,"[0, 0, 0]"
Killer: Unparalleled Freedom,,,45464,30531,293,1,Manhua,Unknown,Unknown,Publishing,2013 to ?,"['Action', 'Mystery']",['Martial Arts'],,,"Cho, Jerry (Art), Yu, Er (Story)",0,"[0, 0, 0]"
