Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Vampire Hunter D (Hideyuki Kikuchi's Vampire Hunter D),7.52,1628.0,2805,2976,"7,286",136,Manga,8,Unknown,Finished,2007 to  2014,"['Action', 'Adventure', 'Drama', 'Horror']",['Vampire'],Seinen,Comic Flapper,"Kikuchi, Hideyuki (Story), Takaki, Saiko (Art)",1,"[0, 1, 0]"
Ginga Densetsu Weed (Ginga Legend Weed),7.52,980.0,2806,8017,"2,462",111,Manga,60,500,Finished,"May  1999 to Jul  3, 2009",['Drama'],['Anthropomorphic'],Seinen,Manga Goraku,"Takahashi, Yoshihiro (Story & Art)",0,"[0, 0, 0]"
Mahoujin Guruguru,7.52,284.0,2807,13305,"1,267",16,Manga,16,168,Finished,"Jul  11, 1992 to Aug  12, 2003","['Adventure', 'Comedy', 'Fantasy']",[],Shounen,Shounen Gangan,"Etou, Hiroyuki (Story & Art)",0,"[0, 0, 0]"
Discommunication,7.52,383.0,2809,7651,"2,603",52,Manga,13,76,Finished,"Dec  25, 1991 to Jan  25, 1999","['Fantasy', 'Mystery', 'Romance', 'Supernatural']",[],Seinen,Afternoon,"Ueshiba, Riichi (Story & Art)",3,"[3, 0, 0]"
Wangan Midnight,7.52,505.0,2811,6691,"3,073",93,Manga,42,Unknown,Finished,"1990 to Jul  28, 2008","['Action', 'Award Winning', 'Drama']",['Racing'],Seinen,Young Magazine (Weekly),"Kusunoki, Michiharu (Story & Art)",0,"[0, 0, 0]"
Tamashii no Futago (The Twin Souls),7.52,899.0,2812,7942,"2,487",42,Manga,2,14,Finished,"Nov  8, 2006 to Mar  8, 2008","['Drama', 'Supernatural']",[],Josei,Feel Young,"Mihara, Mitsukazu (Story & Art)",4,"[3, 0, 1]"
Hanaya no Nikai de,7.52,479.0,2813,14673,"1,100",7,Manga,2,10,Finished,2006,"['Boys Love', 'Comedy', 'Romance', 'Slice of Life']",[],,,"Sugano, Akira (Story), Ninomiya, Etsumi (Art)",1,"[1, 0, 0]"
Ame Nochi Hare (Clear Up After Rain),7.52,1851.0,2814,3521,"6,185",84,Manga,8,39,Finished,"Jun  12, 2008 to Dec  1, 2014","['Fantasy', 'Slice of Life']","['Magical Sex Shift', 'School']",Shoujo,Comic B's-LOG,Bikke (Story & Art),10,"[10, 0, 0]"
Gunjou Gakusha,7.52,743.0,2815,8038,"2,453",14,Manga,4,39,Finished,"Jun  12, 2004 to Oct  11, 2008","['Drama', 'Fantasy', 'Mystery', 'Romance', 'Slice of Life']",[],Seinen,Comic Beam,"Irie, Aki (Story & Art)",1,"[0, 1, 0]"
Hitler (Shigeru Mizuki's Hitler),7.52,701.0,2816,7952,"2,485",122,Manga,1,17,Finished,"May  8, 1971 to Aug  28, 1971",[],"['Historical', 'Military']",Seinen,,"Mizuki, Shigeru (Story & Art)",1,"[1, 0, 0]"
Trace,7.52,265.0,2817,14952,"1,070",8,Manga,4,16,Finished,"Mar  12, 2011 to May  12, 2012","['Action', 'Drama', 'Sci-Fi', 'Supernatural']",['Super Power'],,Comic Earth☆Star,"Go, Yeong-Hun (Story), Amematsu (Art)",0,"[0, 0, 0]"
Palace Meidi,7.52,945.0,2818,7904,"2,504",31,Manga,7,28,Finished,"Jan  20, 2012 to Apr  26, 2017",['Romance'],['Historical'],Shoujo,Bessatsu Hana to Yume,"Kuze, Banko (Story & Art)",2,"[2, 0, 0]"
