Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Aho Girl dj - Tenshi Girl (Angel Girl),6.64,517,14280,14231,1153,1,Doujinshi,1,2,Finished,"Dec  31, 2018","[""'Comedy'""]",Shoujo,Galette meets,"[""'Hiroyuki'""]",2018-12-31,2018-12-31,1,1,0,0
Elf Shimai to Orc-san,6.64,111,14281,29587,316,4,Doujinshi,1,2,Finished,"Apr  30, 2017","[""'Fantasy'"", ""'Hentai'""]",Seinen,Magazine Cyberia,"[""'Kasei'""]",2017-04-30,2017-04-30,0,0,0,0
Lolicon to JS ga Futari de Otomari shitara...,6.64,143,14282,25389,437,2,Doujinshi,1,2,Finished,"May  1, 2016","[""'Hentai'""]",Seinen,drap,"[""'Shimaji'""]",2016-05-01,2016-05-01,0,0,0,0
Kinjo no Ko na Shoujo no Ehon,6.64,122,14283,28829,336,1,Doujinshi,1,2,Finished,"Jul  3, 2016","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Malcorond'""]",2016-07-03,2016-07-03,1,1,0,0
Tenkousei JK Elf,6.64,141,14284,25953,419,1,Doujinshi,3,2,Finished,"Dec  31, 2015 to Aug  13, 2017","[""'Fantasy'"", ""'Hentai'"", ""'School'""]",Seinen,Comic ExE,"[""'Jingrock'""]",2015-12-31,2017-08-13,0,0,0,0
Kimi wo Taosu to Kokoro ni Kimeta!!,6.64,263,14285,21119,615,2,Doujinshi,1,2,Finished,"May  5, 2013","[""'Comedy'"", ""'Hentai'""]",Seinen,Badi,"[""'Yanagida,Fumita'""]",2013-05-05,2013-05-05,0,0,0,0
Mite Mite Motto,6.64,196,14286,23091,522,5,Doujinshi,1,2,Finished,"Oct  26, 2014","[""'Hentai'""]",Shoujo,Manga Time Family,"[""'Yukino,Minato'""]",2014-10-26,2014-10-26,0,0,0,0
Soiree,6.64,445,14287,18105,796,0,Doujinshi,1,1,Finished,"May  5, 2014","[""'Girls Love'"", ""'Romance'"", ""'Slice of Life'"", ""'Erotica'""]",Seinen,Reijin,"[""'Hiiragi,Yutaka'""]",2014-05-05,2014-05-05,0,0,0,0
Fallintrash,6.64,190,14288,24797,456,1,Doujinshi,1,2,Finished,"Aug  17, 2008","[""'Boys Love'"", ""'Erotica'""]",Seinen,Badi,"[""'Watanabe,Asia'""]",2008-08-17,2008-08-17,0,0,0,0
Kimi no Kaori,6.64,933,14338,10748,1694,0,Doujinshi,1,1,Finished,"Aug  17, 2008","[""'Girls Love'"", ""'Ecchi'""]",Shoujo,Reijin,"[""'Minase,Ruruu'""]",2008-08-17,2008-08-17,1,0,1,0
Chintsubu dj - Puchi,6.64,133,14339,29982,307,0,Doujinshi,1,1,Finished,"Dec  30, 2006","[""'Boys Love'"", ""'Comedy'"", ""'Erotica'""]",Shoujo,Galette,"[""'Yamato,Nase'""]",2006-12-30,2006-12-30,0,0,0,0
Under the Skin,6.64,313,14340,20068,672,1,Doujinshi,1,2,Finished,2008,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Miyamoto,Kano'""]",2008-01-01,2008-01-01,0,0,0,0
Douki to Tawawa,6.63,233,14453,19828,685,1,Doujinshi,1,2,Finished,"Aug  14, 2020","[""'Comedy'"", ""'Love Status Quo'""]",Shoujo,Badi,"[""'Himura,Kiseki'"", ""'Yom'""]",2020-08-14,2020-08-14,0,0,0,0
Babaa no Inu Ma ni Neechan to,6.63,143,14454,23681,499,4,Doujinshi,1,2,Finished,"May  29, 2020","[""'Hentai'""]",Seinen,Reijin,"[""'Barlun'""]",2020-05-29,2020-05-29,0,0,0,0
Seinaru Ken to TS Ganbou Yuusha,6.63,150,14455,20618,642,1,Doujinshi,1,2,Publishing,"Aug  11, 2019 to ?","[""'Comedy'"", ""'Fantasy'"", ""'Girls Love'"", ""'Erotica'"", ""'Magical Sex Shift'""]",Seinen,Manga Time Family,"[""'Fukuoka,Tarou'""]",2019-08-11,Updating,0,0,0,0
Oyoganai Futari,6.63,116,14456,33708,233,3,Doujinshi,1,2,Finished,"Aug  13, 2017","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Shoujo,Reijin,"[""'Tsukuru'""]",2017-08-13,2017-08-13,0,0,0,0
Over Shorter,6.63,105,14457,32248,259,1,Doujinshi,1,2,Finished,"Aug  16, 2015","[""'Hentai'""]",Shoujo,Manga Time Family,"[""'Sugi G'""]",2015-08-16,2015-08-16,1,1,0,0
Aku no Onna Shuryou to Doutei Kouseiin,6.63,112,14458,32284,258,0,Doujinshi,1,2,Finished,"Apr  28, 2016","[""'Hentai'""]",Seinen,Magazine Cyberia,"[""'DAIGO'""]",2016-04-28,2016-04-28,0,0,0,0
Cutie Beast,6.63,252,14459,21991,572,3,Doujinshi,1,7,Finished,"2008 to Aug  12, 2012","[""'Fantasy'"", ""'Girls Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Manga Time Family,"[""'Mira'""]",2008-01-01,2012-08-12,2,0,2,0
Seikatsu Shidou!!,6.63,144,14460,22468,549,2,Doujinshi,4,2,Finished,"Dec  31, 2013 to Aug  16, 2015","[""'Hentai'""]",Seinen,Reijin,"[""'Uran'""]",2013-12-31,2015-08-16,0,0,0,0
Ane x Gimi,6.63,106,14461,28375,347,0,Doujinshi,1,2,Finished,"Dec  31, 2012","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Musha,Sabu'""]",2012-12-31,2012-12-31,0,0,0,0
GM Rimix,6.63,167,14462,28372,347,1,Doujinshi,1,2,Finished,"Aug  12, 2011","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Hiroe,Rei'""]",2011-08-12,2011-08-12,0,0,0,0
Aikotoba wa Hallelujah dj - Hallelujah Days,6.63,145,14463,29202,326,0,Doujinshi,1,1,Finished,"May  4, 2003","[""'Boys Love'"", ""'Erotica'""]",Seinen,Comic Valkyrie,"[""'Kamo,Nabako'""]",2003-05-04,2003-05-04,0,0,0,0
Neko-chan,6.63,393,14464,19316,717,1,Doujinshi,1,1,Finished,Oct  2005,"[""'Boys Love'"", ""'Romance'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'Sawauchi,Sachiyo'""]",2005-10-01,2005-10-01,0,0,0,0
Otagai Dondon Hamatteiku Kyouikugakari to Shinnyuu Shain,6.62,110,14582,33913,230,0,Doujinshi,1,2,Finished,"Dec  31, 2023","[""'Comedy'"", ""'Romance'"", ""'Adult Cast'"", ""'Workplace'""]",Shoujo,drap,"[""'Katou,Mayumi'""]",2023-12-31,2023-12-31,0,0,0,0
Condensed Wife,6.62,124,14583,26909,389,2,Doujinshi,1,2,Finished,"Aug  13, 2017","[""'Hentai'""]",Seinen,drap,"[""'Sugi G'""]",2017-08-13,2017-08-13,1,0,1,0
Houjou no Reizoku Elf,6.62,386,14584,14117,1166,25,Doujinshi,1,2,Publishing,"Dec  31, 2015 to ?","[""'Fantasy'"", ""'Hentai'""]",Seinen,Reijin,"[""'Neromashin'""]",2015-12-31,Updating,2,2,0,0
Hoken Taiiku Jisshuu Jugyou: Onnanoko no Karada no Shikumi-hen,6.62,120,14585,30044,305,2,Doujinshi,1,2,Finished,"Aug  14, 2016","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Guglielmo'""]",2016-08-14,2016-08-14,0,0,0,0
Shy Girl,6.62,105,14586,30426,296,1,Doujinshi,1,2,Finished,"Aug  11, 2013","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Uran'""]",2013-08-11,2013-08-11,0,0,0,0
Futanari no Kanojo to Ichaicha Suru Ohanashi,6.62,188,14587,23061,523,6,Doujinshi,1,2,Finished,"May  3, 2012","[""'Hentai'""]",Seinen,Badi,"[""'Kurenai,Yuuji'""]",2012-05-03,2012-05-03,0,0,0,0
Ajin Shoujo-tan,6.62,135,14588,22501,547,1,Doujinshi,8,2,Finished,"Dec  31, 2011 to Aug  16, 2015","[""'Fantasy'"", ""'Hentai'""]",Shoujo,Galette,"[""'nenemaru'""]",2011-12-31,2015-08-16,0,0,0,0
Incompatible,6.62,128,14589,31937,265,1,Doujinshi,2,2,Finished,"May  18, 2012 to Nov  29, 2012","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Jumbo,"[""'Matsu,Takeshi'""]",2012-05-18,2012-11-29,0,0,0,0
Himitsu na Kankei dj - Owatta Ato de mo Kankeichuu,6.62,120,14590,29865,309,1,Doujinshi,1,1,Finished,2005,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'CJ Michalski'""]",2005-01-01,2005-01-01,0,0,0,0
Soshite Kaede wa Hanayaka ni Saku (And Kaede Blooms Gorgeously),6.61,200,14709,23607,502,1,Doujinshi,2,2,Finished,"Nov  25, 2018 to May  2, 2020","[""'Drama'"", ""'Girls Love'""]",Seinen,Manga Time Family,"[""'Suzumi,Raika'""]",2018-11-25,2020-05-02,1,1,0,0
Maid Kanojo to Toshishita Kareshi,6.61,107,14710,26972,386,3,Doujinshi,1,2,Finished,"Dec  30, 2019","[""'Hentai'""]",Shoujo,Galette,"[""'Barlun'""]",2019-12-30,2019-12-30,1,1,0,0
Hitozuma Haramu (Housewife Impregnation),6.61,285,14711,18228,788,3,Doujinshi,1,2,Finished,"Aug  11, 2019","[""'Hentai'""]",Seinen,Magazine Cyberia,"[""'Meme50'""]",2019-08-11,2019-08-11,0,0,0,0
Hitozuma to NTR Shitami Ryokou,6.61,215,14712,21953,574,2,Doujinshi,1,2,Finished,"Aug  14, 2016","[""'Hentai'""]",Seinen,Reijin,"[""'Arakure'""]",2016-08-14,2016-08-14,0,0,0,0
Boku no Neechan wa Chouzetsu Kami Body Tensai Chijo,6.61,124,14713,32004,263,0,Doujinshi,1,2,Finished,"Aug  23, 2015","[""'Hentai'""]",Seinen,Galette,"[""'Dozamura'""]",2015-08-23,2015-08-23,0,0,0,0
Aisaresugite Komaru no (Your Love Is Too Much!),6.61,475,14714,16103,957,2,Doujinshi,1,2,Finished,"Sep  2, 2012","[""'Girls Love'"", ""'Hentai'""]",Seinen,Reijin,"[""'Mira'""]",2012-09-02,2012-09-02,1,0,1,0
Aishiteru Love You,6.61,121,14678,28649,340,0,Doujinshi,1,2,Finished,"Oct  25, 2009 to Nov  1, 2009","[""'Boys Love'""]",Shoujo,Badi,"[""'Ogura,Muku'"", ""'Kobato,Mebaru'""]",2009-10-25,2009-11-01,0,0,0,0
Bakunyuu Maid Kari,6.61,142,14679,24444,470,2,Doujinshi,2,2,Finished,"Apr  24, 2009 to Jul  24, 2009","[""'Hentai'""]",Seinen,Reijin,"[""'Mogudan'""]",2009-04-24,2009-07-24,0,0,0,0
Himesama to Dorei-chan,6.6,102,14680,32904,247,4,Doujinshi,1,2,Finished,"Dec  31, 2015","[""'Girls Love'"", ""'Erotica'"", ""'Hentai'""]",Shoujo,Reijin,"[""'Mira'""]",2015-12-31,2015-12-31,0,0,0,0
Keitai de Good Job!,6.6,155,14681,26069,415,6,Doujinshi,1,2,Finished,"Sep  27, 2009","[""'Hentai'""]",Shoujo,Manga Time Jumbo,"[""'Tatsunami,Youtoku'""]",2009-09-27,2009-09-27,0,0,0,0
Present,6.6,169,14682,28189,352,0,Doujinshi,1,2,Finished,"Feb  19, 2012","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Galette meets,"[""'Itto'""]",2012-02-19,2012-02-19,0,0,0,0
Squirm,6.6,183,14683,27340,376,0,Doujinshi,1,2,Finished,"Aug  14, 2011","[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette,"[""'Itto'""]",2011-08-14,2011-08-14,0,0,0,0
Eien,6.6,201,14684,21311,606,6,Doujinshi,3,2,Finished,"Dec  31, 2009 to Aug  15, 2010","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Saikawa,Yusa'""]",2009-12-31,2010-08-15,0,0,0,0
Immoral,6.6,127,14685,25038,448,2,Doujinshi,1,3,Finished,"Aug  16, 2009","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Happoubi,Jin'""]",2009-08-16,2009-08-16,0,0,0,0
@Emmy,6.59,124,14686,29676,314,0,Doujinshi,1,2,Finished,"Aug  14, 2016","[""'Hentai'""]",Seinen,Comic ExE,"[""'Yukiu,Con'""]",2016-08-14,2016-08-14,0,0,0,0
Doutei Dou Deshou dj - Another (How do you like cherry boy? another),6.59,117,14687,32644,251,1,Doujinshi,1,1,Finished,"Mar  8, 2015","[""'Boys Love'"", ""'Erotica'""]",Seinen,Badi,"[""'Momozuki,Haruka'""]",2015-03-08,2015-03-08,0,0,0,0
Girl Meets Girl,6.59,195,14901,25561,432,0,Doujinshi,1,2,Finished,"Dec  30, 2013","[""'Girls Love'"", ""'Romance'"", ""'School'""]",Seinen,Reijin,"[""'Takemiya,Jin'""]",2013-12-30,2013-12-30,0,0,0,0
Sugoi ya Fukuya-san!,6.59,137,14902,26482,401,1,Doujinshi,1,2,Finished,"May  23, 2009","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Sanagi,Torajirou'""]",2009-05-23,2009-05-23,0,0,0,0
UnisiS (Uniform Sister),6.59,184,14903,23460,508,2,Doujinshi,4,2,Finished,"Nov  14, 2010 to May  5, 2014","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'saitom'""]",2010-11-14,2014-05-05,0,0,0,0
"Sou Itte, Kimi wa Warau",6.59,147,14904,29780,311,1,Doujinshi,1,2,Finished,"Aug  15, 2010","[""'Boys Love'"", ""'Erotica'"", ""'School'""]",Seinen,Galette meets,"[""'Tsukumo,Gou'""]",2010-08-15,2010-08-15,0,0,0,0
Pretty Lamia,6.59,444,14905,15956,969,5,Doujinshi,1,2,Finished,"Aug  17, 2008","[""'Hentai'""]",Seinen,Magazine Cyberia,"[""'Aoki,Kanji'""]",2008-08-17,2008-08-17,0,0,0,0
Hana*Koi dj - Lovely Rabbit,6.59,121,14943,32411,255,0,Doujinshi,1,1,Finished,Dec  2007,"[""'Boys Love'"", ""'Comedy'""]",Seinen,Comic ExE,"[""'Kamo,Nabako'""]",2007-12-01,2007-12-01,0,0,0,0
Oshi Au Futari wa Koi ni Naranai,6.58,514,15037,15584,1008,0,Doujinshi,1,2,Finished,"Aug  13, 2023","[""'Comedy'"", ""'Romance'"", ""'Otaku Culture'""]",Seinen,drap,"[""'Komaki,Maria'""]",2023-08-13,2023-08-13,0,0,0,0
Caste Heaven dj - Cachuto Heaven,6.58,460,15038,16089,958,1,Doujinshi,1,2,Finished,"Dec  29, 2015","[""'Boys Love'"", ""'Erotica'"", ""'School'""]",Shoujo,Comic Valkyrie,"[""'Takagi,Shigeyoshi'""]",2015-12-29,2015-12-29,0,0,0,0
Yuugatou Club,6.58,180,15039,23039,524,3,Doujinshi,1,2,Publishing,"Dec  30, 2014 to ?","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Manga Time Family,"[""'locon'""]",2014-12-30,Updating,0,0,0,0
Utakata,6.58,103,15040,34618,220,0,Doujinshi,1,2,Finished,"Jul  1, 2012","[""'Boys Love'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'Tsukumo,Gou'""]",2012-07-01,2012-07-01,0,0,0,0
Seisei Doudou Futamata suru Hanashi (Two-Timing Fair and Square),6.57,167,15189,24515,467,0,Doujinshi,1,10,Finished,"Aug  11, 2019","[""'Comedy'"", ""'Romance'""]",Seinen,Manga Time Jumbo,"[""'Hiroyuki'""]",2019-08-11,2019-08-11,1,1,0,0
Zutto Otokonoko dato Omotteita Gaki Taishou ga Onnanoko deshita,6.57,301,15224,18926,742,2,Doujinshi,2,2,Finished,"Jul  19, 2020 to Nov  21, 2020","[""'Romance'""]",Shoujo,Comic ExE,"[""'Chamirai'""]",2020-07-19,2020-11-21,0,0,0,0
Galpa!,6.57,154,15225,23925,489,3,Doujinshi,2,2,Finished,"Aug  14, 2016 to Dec  31, 2016","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Sakagami,Umi'"", ""'Ueno,Meguru'""]",2016-08-14,2016-12-31,1,1,0,0
BF: Bijoux Fantaisie,6.57,152,15226,24102,483,5,Doujinshi,5,2,Finished,"Dec  31, 2011 to Dec  28, 2015","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Seinen,Comic ExE,"[""'Makuro'""]",2011-12-31,2015-12-28,0,0,0,0
Papa to Sex? Sonna no Atarimae!,6.57,109,15227,32899,247,2,Doujinshi,1,2,Finished,"Dec  21, 2012","[""'Hentai'""]",Seinen,Comic ExE,"[""'Dozamura'""]",2012-12-21,2012-12-21,0,0,0,0
Abnormal,6.57,324,15228,20819,630,1,Doujinshi,1,2,Finished,2007,"[""'Boys Love'"", ""'Erotica'"", ""'School'""]",Seinen,Reijin,"[""'Itto'""]",2007-01-01,2007-01-01,0,0,0,0
Rikugun Renai Shikan Gakkou dj - Gunpuku no Adam-tachi,6.57,129,15229,30549,293,1,Doujinshi,1,3,Finished,Jan  2008,"[""'Boys Love'"", ""'Comedy'"", ""'Erotica'"", ""'Historical'""]",Seinen,Reijin,"[""'Mizukami,Shin'""]",2008-01-01,2008-01-01,0,0,0,0
Goukon de Deatta Onnanoko to Ii Kanji ni Naru Yuri,6.56,206,15382,24880,453,0,Doujinshi,2,2,Finished,"May  12, 2019 to Aug  11, 2019","[""'Girls Love'""]",Shoujo,Manga Time Family,"[""'Chisako'""]",2019-05-12,2019-08-11,0,0,0,0
Ai Midarete,6.56,160,15383,22106,566,1,Doujinshi,1,2,Finished,"Dec  31, 2015","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Usagi,Nagomu'""]",2015-12-31,2015-12-31,0,0,0,0
Copy Room Yuugi (Copy Room Fun 'n' Games),6.56,427,15384,16831,893,4,Doujinshi,1,2,Finished,"Feb  2, 2014","[""'Girls Love'"", ""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Mira'""]",2014-02-02,2014-02-02,0,0,0,0
Aitai (Cirrus: A Longing to Love),6.56,101,15385,33329,239,1,Doujinshi,2,2,Finished,"Mar  28, 2015 to May  2, 2015","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Saikawa,Yusa'""]",2015-03-28,2015-05-02,0,0,0,0
Futanari Ojousama Zettai Shijou Shugi,6.56,170,15386,24227,478,4,Doujinshi,2,2,Finished,"Aug  14, 2011 to Aug  12, 2012","[""'Hentai'""]",Shoujo,drap,"[""'Piririnegi'""]",2011-08-14,2012-08-12,2,2,0,0
Tanutan,6.56,163,15387,28330,348,1,Doujinshi,2,2,Finished,2006,"[""'Boys Love'"", ""'Erotica'""]",Shoujo,Comic ExE,"[""'CJ Michalski'""]",2006-01-01,2006-01-01,0,0,0,0
Sassato Tsukiae Jirettai!,6.55,161,15501,28709,339,0,Doujinshi,1,2,Finished,"May  5, 2022","[""'Romance'"", ""'School'""]",Seinen,Comic ExE,"[""'Uchiyama,Atsushi'""]",2022-05-05,2022-05-05,0,0,0,0
Jitsu wa Ryouomoi Kamoshirenai Oneesan to Chuusan Danshi no Hanashi,6.55,114,15496,26012,416,0,Doujinshi,1,2,Finished,"Dec  30, 2019","[""'Comedy'"", ""'Romance'""]",Seinen,Galette meets,"[""'Saisou'""]",2019-12-30,2019-12-30,0,0,0,0
Inka: Nikuyoku ni Aragaenai Karada,6.55,116,15497,25072,447,3,Doujinshi,1,2,Finished,"Aug  14, 2016","[""'Hentai'""]",Shoujo,Reijin,"[""'Usagi,Nagomu'""]",2016-08-14,2016-08-14,0,0,0,0
Chiisana Maid-san no Himitsu (The Needs of Excited Maids: The Mansion Is a Girl Paradise!),6.55,225,15498,24738,458,1,Doujinshi,1,2,Finished,"Mar  2, 2014","[""'Girls Love'"", ""'Hentai'""]",Seinen,Galette,"[""'Mira'""]",2014-03-02,2014-03-02,0,0,0,0
Boku no Mama Boku no Ane,6.55,114,15499,30446,295,0,Doujinshi,1,2,Finished,"May  27, 2016","[""'Hentai'""]",Shoujo,Galette,"[""'Dozamura'""]",2016-05-27,2016-05-27,0,0,0,0
Shishunki Poolside,6.55,142,15500,27475,372,3,Doujinshi,1,2,Finished,"Oct  14, 2012","[""'Hentai'""]",Shoujo,Manga Time Family,"[""'Piririnegi'""]",2012-10-14,2012-10-14,0,0,0,0
Chintsubu Mini dj,6.55,117,15501,30175,302,0,Doujinshi,1,1,Finished,"Aug  15, 2004","[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Yamato,Nase'""]",2004-08-15,2004-08-15,0,0,0,0
Tomodachi no Onna,6.54,261,15502,18315,782,4,Doujinshi,1,2,Finished,"Apr  30, 2018","[""'Hentai'""]",Seinen,Manga Time Family,"[""'Jyura'""]",2018-04-30,2018-04-30,0,0,0,0
Girls Monochrome,6.54,121,15646,26231,409,0,Doujinshi,1,5,Finished,2010 to  2012,"[""'Girls Love'""]",Seinen,Badi,"[""'Chisako'""]",2010-01-01,2012-01-01,0,0,0,0
Shidoukan,6.54,130,15647,27252,378,0,Doujinshi,3,2,Finished,"Feb  2, 2014 to Oct  23, 2016","[""'Hentai'"", ""'School'""]",Seinen,Magazine Cyberia,"[""'BANG-YOU'""]",2014-02-02,2016-10-23,0,0,0,0
Abgrund,6.54,292,15648,19464,707,4,Doujinshi,1,2,Finished,"Aug  12, 2012","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'"", ""'Crossdressing'""]",Seinen,Comic Valkyrie,"[""'Saikawa,Yusa'""]",2012-08-12,2012-08-12,1,1,0,0
Kyuujitsu to Satou,6.54,749,15649,12084,1442,0,Doujinshi,1,1,Finished,Apr  2008,"[""'Boys Love'"", ""'Erotica'""]",Seinen,Badi,"[""'Zaria,Ranmaru'""]",2008-04-01,2008-04-01,0,0,0,0
Crush,6.54,216,15589,26126,413,0,Doujinshi,2,2,Finished,"Aug  19, 2007 to Dec  30, 2007","[""'Boys Love'"", ""'Comedy'""]",Shoujo,Manga Time Family,"[""'Ougi,Yuzuha'""]",2007-08-19,2007-12-30,0,0,0,0
Onna no Hadaka wo Nama de Mitai,6.53,281,15716,15835,982,1,Doujinshi,1,5,Finished,"Aug  11, 2019","[""'Comedy'"", ""'Romance'""]",Seinen,Galette meets,"[""'Nishizawa,5mm'""]",2019-08-11,2019-08-11,1,1,0,0
Ayatsuri Ningyou na Mainichi no Naka de,6.53,213,15717,22373,554,6,Doujinshi,1,2,Finished,"Mar  28, 2015","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Yukino,Minato'""]",2015-03-28,2015-03-28,0,0,0,0
Hitozuma Ane,6.53,139,15718,25272,441,0,Doujinshi,1,2,Finished,"Dec  30, 2014","[""'Hentai'""]",Shoujo,Comic ExE,"[""'Yuzuki N''""]",2014-12-30,2014-12-30,0,0,0,0
Unsweet Inoue Ai Plus,6.53,107,15719,29350,322,0,Doujinshi,2,3,Finished,"Dec  31, 2011 to Jun  24, 2012","[""'Hentai'""]",Seinen,Reijin,"[""'Tanaka,Aji'""]",2011-12-31,2012-06-24,0,0,0,0
Kowaremono,6.53,222,15720,20029,674,0,Doujinshi,1,2,Finished,"Aug  17, 2014","[""'Hentai'"", ""'School'""]",Seinen,Badi,"[""'Yoshiron'""]",2014-08-17,2014-08-17,0,0,0,0
Otoko no Ko Fuzoku♥,6.53,148,15721,25827,423,6,Doujinshi,1,2,Finished,"Aug  17, 2014","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Shoujo,Badi,"[""'NemuNemu'""]",2014-08-17,2014-08-17,0,0,0,0
Sweet Meats,6.53,628,15722,13704,1216,3,Doujinshi,1,1,Finished,"Dec  30, 2003","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Manga Time Family,"[""'Minami,Haruka'""]",2003-12-30,2003-12-30,0,0,0,0
Bitch Gal Pakohamex,6.52,141,15723,22633,542,3,Doujinshi,1,2,Finished,"Aug  13, 2017","[""'Hentai'""]",Seinen,Manga Time Family,"[""'stem'""]",2017-08-13,2017-08-13,0,0,0,0
Daisuki na Mama to Akachan wo Tsukurou,6.52,169,15724,26127,413,2,Doujinshi,1,2,Finished,"Oct  31, 2016","[""'Hentai'""]",Shoujo,Manga Time Jumbo,"[""'DAIGO'""]",2016-10-31,2016-10-31,0,0,0,0
Junk/Jewel,6.52,123,15894,30451,295,0,Doujinshi,1,5,Finished,"Dec  31, 2011","[""'Comedy'"", ""'Girls Love'""]",Shoujo,Magazine Cyberia,"[""'Takemiya,Jin'""]",2011-12-31,2011-12-31,0,0,0,0
Onaho no Tsukumogami Onaho,6.52,122,15895,24541,466,4,Doujinshi,2,2,Finished,"Oct  5, 2013 to Dec  31, 2013","[""'Hentai'""]",Shoujo,Manga Time Jumbo,"[""'Chinbotsu'""]",2013-10-05,2013-12-31,0,0,0,0
Trickster,6.52,146,15896,30990,283,0,Doujinshi,1,3,Finished,"Aug  19, 2007","[""'Boys Love'"", ""'Comedy'"", ""'Erotica'""]",Shoujo,drap,"[""'Fuwa,Shinri'""]",2007-08-19,2007-08-19,0,0,0,0
Access,6.52,405,15897,17670,828,0,Doujinshi,3,5,Finished,1993,"[""'Action'"", ""'Boys Love'"", ""'Comedy'"", ""'Romance'"", ""'Erotica'""]",Shoujo,drap,"[""'Matoh,Sanami'""]",1993-01-01,1993-01-01,0,0,0,0
Azel Seimaden - Yami no Kakan,6.52,141,15816,28043,356,1,Doujinshi,1,1,Finished,Dec  1995,"[""'Drama'"", ""'Fantasy'"", ""'Romance'""]",Shoujo,Manga Time Jumbo,"[""'Higuri,You'""]",1995-12-01,1995-12-01,0,0,0,0
Die,6.52,2443,15813,4905,4348,12,Doujinshi,1,2,Finished,1995,"[""'Romance'"", ""'Psychological'""]",Shoujo,drap,"[""'Yuki,Kaori'""]",1995-01-01,1995-01-01,5,4,1,0
Ama + Devi,6.51,114,15916,32781,249,0,Doujinshi,1,2,Finished,"Nov  15, 2015","[""'Girls Love'"", ""'Supernatural'"", ""'Ecchi'"", ""'School'""]",Seinen,Magazine Cyberia,"[""'Homura,Subaru'""]",2015-11-15,2015-11-15,0,0,0,0
Suzuka-sama no Geboku,6.51,437,15917,15235,1042,7,Doujinshi,1,2,Finished,"Aug  11, 2013","[""'Supernatural'"", ""'Hentai'""]",Seinen,Manga Time Family,"[""'774'""]",2013-08-11,2013-08-11,1,1,0,0
Sokuhame Bitchinpo,6.51,149,15918,23766,496,6,Doujinshi,4,2,Finished,"Apr  30, 2012 to Aug  16, 2015","[""'Boys Love'"", ""'Erotica'"", ""'Hentai'""]",Shoujo,Galette,"[""'Shimaji'""]",2012-04-30,2015-08-16,0,0,0,0
Hahaoya Shikkaku: Watashi to Musuko no Mesu Buta Netorare Seikyoiku,6.51,189,15919,22690,538,1,Doujinshi,1,2,Finished,"Mar  26, 2011","[""'Hentai'""]",Shoujo,drap,"[""'Hana,Hook'""]",2011-03-26,2011-03-26,0,0,0,0
Otagai Sukoshizutsu Kawatteiku Kyouikugakari to Shinnyuu Shain,6.5,149,16120,30228,301,0,Doujinshi,1,2,Finished,"Sep  3, 2023","[""'Comedy'"", ""'Romance'"", ""'Adult Cast'"", ""'Workplace'""]",Seinen,Manga Time Jumbo,"[""'Katou,Mayumi'""]",2023-09-03,2023-09-03,0,0,0,0
Elf no Hime wa Kairaku ni Naku,6.5,218,16121,19054,734,2,Doujinshi,1,2,Finished,"Dec  30, 2014","[""'Supernatural'"", ""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Usagi,Nagomu'""]",2014-12-30,2014-12-30,0,0,0,0
Okusama wa♥Futanarikko,6.5,114,16122,27513,371,1,Doujinshi,1,2,Finished,"May  3, 2011","[""'Hentai'""]",Seinen,Badi,"[""'Piririnegi'""]",2011-05-03,2011-05-03,0,0,0,0
