Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
"Semete, Ano Yuki no You ni",7.47,4261,3136,3073,7085,94,Doujinshi,1,1,Finished,"Dec  31, 2010","[""'Drama'"", ""'Romance'"", ""'School'""]",Shoujo,Reijin,"[""'Fujimaru'""]",2010-12-31,2010-12-31,5,5,0,0
Priapus,7.47,987,3137,8433,2322,62,Doujinshi,1,2,Publishing,"Dec  30, 2011 to ?","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Manga Time Family,"[""'Itto'""]",2011-12-30,Updating,1,1,0,0
Asagao to Kase-san. dj - Chocolate to Kase-san.,7.46,1670,3228,5841,3582,17,Doujinshi,1,1,Finished,"May  5, 2012","[""'Girls Love'"", ""'Romance'"", ""'School'""]",Seinen,Comic ExE,"[""'Takashima,Hiromi'""]",2012-05-05,2012-05-05,0,0,0,0
Sabita Yoru demo Koi wa Sasayaku dj - Azami,7.45,1520,3229,6655,3092,9,Doujinshi,1,2,Finished,"Aug  15, 2015","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Jumbo,"[""'Ogeretsu,Tanaka'""]",2015-08-15,2015-08-15,2,2,0,0
Katekyo! dj - Crème Brûlée,7.45,920,3230,9450,2002,2,Doujinshi,1,2,Finished,"Oct  9, 2011","[""'Boys Love'"", ""'Romance'"", ""'Erotica'""]",Shoujo,Comic Valkyrie,"[""'Moegi,Yuu'"", ""'Takaoka,Nanaroku'""]",2011-10-09,2011-10-09,0,0,0,0
Sensei wa Dummy (I Am a Dummy),7.44,1207,3231,6396,3228,4,Doujinshi,3,2,Finished,"Oct  25, 2009 to Aug  15, 2010","[""'Boys Love'"", ""'Comedy'"", ""'Erotica'""]",Seinen,Reijin,"[""'Nekota,Yonezou'""]",2009-10-25,2010-08-15,0,0,0,0
Katekyo! dj - Chocolate Fondue,7.43,604,3232,13131,1291,1,Doujinshi,1,1,Finished,"Dec  30, 2011","[""'Boys Love'"", ""'Romance'"", ""'Erotica'""]",Shoujo,Comic Valkyrie,"[""'Moegi,Yuu'"", ""'Takaoka,Nanaroku'""]",2011-12-30,2011-12-30,0,0,0,0
Isekai Harem Monogatari (Tales of a Harem in Another World),7.42,433,3233,9054,2116,45,Doujinshi,1,2,Publishing,"Dec  31, 2017 to ?","[""'Fantasy'"", ""'Hentai'"", ""'Harem'"", ""'Isekai'""]",Shoujo,Magazine Cyberia,"[""'Tachibana,Omina'""]",2017-12-31,Updating,0,0,0,0
Neko Para,7.41,818,3234,6761,3044,68,Doujinshi,1,2,Publishing,"Aug  11, 2013 to ?","[""'Hentai'""]",Seinen,Galette meets,"[""'Sayori'""]",2013-08-11,Updating,0,0,0,0
Mori no Koe,7.41,875,3235,11228,1599,5,Doujinshi,1,5,Finished,"Dec  29, 1997 to Aug  12, 2001","[""'Boys Love'"", ""'Fantasy'"", ""'Erotica'"", ""'Mythology'""]",Shoujo,Manga Time Family,"[""'Naono,Bohra'""]",1997-12-29,2001-08-12,0,0,0,0
Mesudachi (Boyish Girlfriends),7.4,651,3236,8526,2287,28,Doujinshi,1,2,Publishing,"Nov  23, 2017 to ?","[""'Hentai'""]",Seinen,Manga Time Jumbo,"[""'Z-ton'""]",2017-11-23,Updating,1,1,0,0
Jelly Beans,7.4,842,3237,10525,1744,3,Doujinshi,1,2,Finished,"Dec  30, 2013","[""'Boys Love'"", ""'Romance'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'Moegi,Yuu'"", ""'Takaoka,Nanaroku'""]",2013-12-30,2013-12-30,0,0,0,0
Tiny Evil,7.38,1426,3238,5826,3592,79,Doujinshi,1,2,Publishing,"Jul  20, 2015 to ?","[""'Supernatural'"", ""'Hentai'""]",Seinen,Magazine Cyberia,"[""'MUK'""]",2015-07-20,Updating,1,1,0,0
Tsuyogari dj - Shishunki no Himitsu,7.38,474,3239,15033,1062,1,Doujinshi,1,2,Finished,"Aug  16, 2009","[""'Boys Love'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'Nekota,Yonezou'""]",2009-08-16,2009-08-16,0,0,0,0
Hyakujitsu no Bara dj - Halloween Special,7.38,587,3240,13464,1246,3,Doujinshi,2,5,Finished,"Oct  26, 2008","[""'Boys Love'"", ""'Comedy'"", ""'Erotica'""]",Shoujo,Manga Time Jumbo,"[""'Inariya,Fusanosuke'""]",2008-10-26,2008-10-26,0,0,0,0
