Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
"""Ou no Saien"" no Kishi to, ""Yasai"" no Ojousama",6.58,112,15041,21446,599,0,5,31,Finished,"Feb  14, 2020 to Oct  19, 2022","['Comedy', 'Fantasy', 'Romance']",[],"Emoto, Mashimesa (Story), Tanuda, Niso (Art)",0,"[0, 0, 0]"
Fate/Grand Order: Ordú Beag,6.58,214,15042,20948,622,4,Unknown,1,Finished,"Jul  22, 2020","['Action', 'Fantasy']",[],"Nagi, Akisato (Story & Art)",0,"[0, 0, 0]"
Shinja Zero no Megami-sama to Hajimeru Isekai Kouryaku (Full Clearing Another World under a Goddess with Zero Believers),6.58,869,15043,5761,"3,638",7,Unknown,Unknown,Publishing,"Apr  24, 2020 to ?","['Fantasy', 'Romance']",[],"Shiroi, Hakuto (Art), Oosaki, Isle (Story)",3,"[2, 0, 1]"
Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,6.58,362,15044,8179,"2,408",6,Unknown,Unknown,Publishing,"Jan  10, 2020 to ?","['Comedy', 'Romance', 'Slice of Life']",[],"Sora, Egumi (Story & Art)",1,"[1, 0, 0]"
Zutto Otokonoko dato Omotteita Gaki Taishou ga Onnanoko deshita,6.58,301,15045,18934,741,2,2,Unknown,Finished,"Jul  19, 2020 to Nov  21, 2020",[],[],Chamirai (Story & Art),0,"[0, 0, 0]"
Botabota (Drip Drip),6.58,4079,15046,2765,"7,851",48,1,9,Finished,"Dec  25, 2020 to Feb  19, 2021","['Comedy', 'Drama']",[],"Itagaki, Paru (Story & Art)",6,"[3, 3, 0]"
Aobara-hime no Yarinaoshi Kakumeiki (Revolutionary Restart for the Blue Rose Princess),6.58,167,15047,20759,635,0,7,35,Finished,"Mar  16, 2020 to Nov  28, 2022","['Drama', 'Fantasy', 'Romance']",[],"Yuzuki, Shou (Art), Kaname, Roku (Story)",0,"[0, 0, 0]"
Dekiai Reijou wa Dannasama kara Nigeraremasen...! ♡ Anthology Comic,6.58,209,15048,17759,820,5,Unknown,Unknown,Publishing,"Aug  24, 2020 to ?","['Fantasy', 'Romance']",[],"Kikuta, Yui (Art), Ouya, Saki (Story), Nekonomori, Shima (Art), Usui, Katsura (Story), Shiina, Saera (Story), KATINO (Art)",1,"[0, 0, 1]"
Haru to Arashi,6.58,773,15049,8845,"2,181",2,2,9,Finished,"Aug  11, 2020 to Mar  13, 2021",[],[],Ayuko (Story & Art),0,"[0, 0, 0]"
"Kyou kara, Kimi wo Share Shimasu",6.58,229,15050,21774,581,0,Unknown,12,Finished,"Oct  1, 2017 to Nov  1, 2018",[],[],"Fukasawa, Hayuru (Story & Art)",1,"[0, 0, 1]"
Dokuzetsu Shoujo wa Amanojaku: Kabegoshi nara Sunao ni Suki tte Ierumon!,6.58,120,15051,18783,749,2,2,14,Finished,"Feb  12, 2021 to Jul  21, 2022","['Comedy', 'Romance']",[],"Uemura, Natsuki (Story), Abi (Art)",0,"[0, 0, 0]"
Hiyama Kentarou no Ninshin (He's Expecting),6.58,198,15052,23782,494,0,1,7,Finished,"Aug  11, 2012 to Nov  15, 2012",[],[],"Sakai, Eri (Story & Art)",0,"[0, 0, 0]"
"Kimi to Kyun Koi, Shiyou.",6.58,1230,15053,6878,"2,977",1,1,5,Finished,Not available,[],[],"Kuramochi, Mari (Story & Art), Haruki, Saki (Story & Art), Miyoshi, Maki (Story & Art), Kitagawa, Yuka (Story & Art), Makino (Story & Art)",0,"[0, 0, 0]"
Kakuriyo Monogatari,6.58,108,15054,19550,701,2,8,68,Finished,"Jul  11, 2013 to Dec  25, 2014","['Action', 'Horror', 'Supernatural']",[],"Fujisaki, Ryuu (Story & Art)",0,"[0, 0, 0]"
Ousama no Sougiten (The King's Undertaker),6.58,216,15055,25270,441,0,1,5,Finished,"Dec  24, 2012 to Aug  10, 2013",[],[],"Yajima, Toki (Story & Art)",0,"[0, 0, 0]"
Boku to Kanojo no XXX: Bangai-hen,6.58,344,15056,17903,810,3,1,8,Finished,"Jun  25, 2012 to Mar  25, 2013","['Comedy', 'Romance']",[],"Morinaga, Ai (Story & Art)",0,"[0, 0, 0]"
Ousama wa Shitsuji-sama (The Butler is King),6.58,1142,15057,7994,"2,471",2,1,5,Finished,"Dec  20, 2011 to Aug  25, 2012",[],[],"Shiiba, Nana (Story & Art)",0,"[0, 0, 0]"
Hundred,6.58,2328,15058,4016,"5,429",16,2,12,Finished,"Nov  9, 2013 to Dec  9, 2014","['Action', 'Romance', 'Sci-Fi', 'Ecchi']","['Harem', 'Mecha', 'School']","SASAYUKi (Art), Misaki, Jun (Story)",0,"[0, 0, 0]"
Dorothy wa Gokigennaname? (Is Dorothy in a Bad Temper?),6.58,500,15059,11037,"1,638",3,3,13,Finished,"Jul  27, 2013 to Jul  28, 2014","['Fantasy', 'Romance']",[],"Hoonoki, Sora (Story & Art)",0,"[0, 0, 0]"
Rakunou Milk! (Milk on the Farm),6.58,142,15060,23426,508,1,2,57,Finished,"Feb  17, 2014 to Jun  29, 2015",[],[],"Sanri, Youko (Story & Art)",0,"[0, 0, 0]"
Hajimari wa Suna no Ichiya,6.58,425,15061,17016,878,1,1,2,Finished,"Jul  27, 2013 to Apr  26, 2014","['Drama', 'Romance']",[],"Ichinose, Kaoru (Story & Art)",0,"[0, 0, 0]"
Salomelic,6.58,432,15062,17111,870,4,1,5,Finished,"Dec  25, 2010 to Mar  24, 2012",[],[],"Hakamada, Mera (Story & Art)",0,"[0, 0, 0]"
Fujiwara Hakushaku no Junan (Count Fujiwara's Suffering),6.58,245,15063,13589,"1,226",6,3,28,Finished,"Aug  26, 2014 to Jun  25, 2016","['Comedy', 'Slice of Life']",[],"Aobe, Mahito (Story & Art)",1,"[1, 0, 0]"
Kyoudai hodo Chikaku Tooimono wa Nai (I'm Obsessed With My Little Bro!),6.58,1742,15064,3291,"6,612",18,6,123,Finished,"Jan  31, 2013 to May  13, 2016",[],[],"Ogi, Hatsumi (Story), Fuyujima, Kure (Art)",1,"[1, 0, 0]"
Fujouri na Atashitachi,6.58,932,15065,8938,"2,150",2,2,33,Finished,"Aug  1, 2014 to Apr  13, 2020","['Drama', 'Girls Love']",[],"Takemiya, Jin (Story & Art)",1,"[1, 0, 0]"
Kono Sekai ga Game da to Ore dake ga Shitteiru (Only I Know That This World Is a Game),6.58,860,15066,5709,"3,672",6,Unknown,Unknown,Publishing,"Jul  4, 2014 to ?","['Action', 'Comedy', 'Fantasy']","['Harem', 'Video Game']","Ichizen (Art), Usbar (Story)",1,"[1, 0, 0]"
Hikari-Man,6.58,279,15067,9021,"2,123",2,8,83,Finished,"Dec  8, 2014 to Jun  22, 2020",[],[],"Yamamoto, Hideo (Story & Art)",0,"[0, 0, 0]"
Ore to Kanojo no Moeyo Pen,6.58,1153,15068,8230,"2,389",5,2,9,Finished,"Oct  9, 2014 to Jun  9, 2015","['Comedy', 'Romance', 'Ecchi']",[],"Murakami, Rin (Story), Mori, Misaki (Art)",0,"[0, 0, 0]"
"Dragon Ball Z: Fukkatsu no ""F""",6.58,3567,15069,3551,"6,148",52,Unknown,3,Finished,"Feb  21, 2015 to Apr  21, 2015","['Action', 'Fantasy']",[],"Toriyama, Akira (Story), Toyotarou (Art)",2,"[0, 0, 2]"
Yakushoku Distopiary (Gesellschaft Blume),6.58,3934,15070,1627,"12,919",115,5,35,Finished,"Aug  1, 2014 to Sep  2, 2016","['Action', 'Fantasy', 'Supernatural']",[],"Yaminabe, Tellmin (Art), Senga, Fumitaka (Story)",12,"[8, 2, 2]"
Diabolik Lovers: Anime Koushiki Anthology,6.58,278,15071,14584,"1,109",9,1,12,Finished,"Feb  13, 2014",[],[],None,1,"[0, 1, 0]"
Mousou Kikou: Adolescence Avatar,6.58,441,15072,13698,"1,215",3,1,7,Finished,"Jan  19, 2010 to Sep  21, 2011","['Comedy', 'Fantasy']","['Magical Sex Shift', 'School']","Moriyama, Daisuke (Story & Art)",0,"[0, 0, 0]"
Goumaden Shuten Douji,6.58,145,15073,21970,572,0,7,39,Finished,"Aug  19, 2002 to Oct  19, 2005","['Action', 'Fantasy', 'Romance', 'Supernatural']",[],"Masato, Natsumoto (Art), Nagai, Go (Story)",0,"[0, 0, 0]"
Tayutama: Kiss on my Deity,6.58,545,15074,12055,"1,444",3,1,6,Finished,"Nov  26, 2008 to May  26, 2009","['Comedy', 'Supernatural', 'Ecchi']",[],Yukiwo (Art),1,"[0, 1, 0]"
Celestial Clothes,6.58,193,15075,18654,757,1,11,65,Finished,"Jun  26, 2010 to Feb  26, 2016","['Action', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",[],"Shiono, Etorouji (Story & Art)",0,"[0, 0, 0]"
Golden Boy II: Sasurai no Obenkyou Yarou Geinoukai Ooabare-hen,6.58,336,15076,7026,"2,897",15,2,16,Finished,"Sep  15, 2010 to May  18, 2011","['Comedy', 'Drama', 'Ecchi']",[],"Egawa, Tatsuya (Story & Art)",0,"[0, 0, 0]"
Gekijouban Pocket Monster AG: Rekkuu no Houmonsha Deoxys,6.58,113,15077,23570,503,1,1,3,Finished,May  2004 to Jul  2004,"['Action', 'Adventure', 'Fantasy']",[],"Teshirogi, Takashi (Story & Art)",0,"[0, 0, 0]"
Sicilia de Aishite,6.58,218,15078,26654,396,0,1,Unknown,Finished,2009,[],[],"Hoshino, Masami (Art), Morgan, Sarah (Story)",0,"[0, 0, 0]"
Region,6.58,615,15079,12048,"1,445",2,3,24,Finished,"Aug  23, 2007 to Aug  28, 2008","['Drama', 'Horror']",[],"Fujisawa, Yuki (Story & Art)",1,"[0, 0, 1]"
Finlandia: Santa Yousei Gakkou,6.58,354,15080,18853,745,8,2,8,Finished,"Dec  15, 2010 to Aug  15, 2011","['Fantasy', 'Romance']",[],"Noguchi, Mei (Story & Art)",1,"[0, 1, 0]"
Godland Company,6.58,423,15081,18168,791,0,Unknown,1,Finished,"Apr  30, 2011","['Action', 'Comedy', 'Supernatural']",[],"Iwashiro, Toshiaki (Story & Art)",1,"[0, 1, 0]"
Seven Sisters,6.58,386,15082,10336,"1,786",2,Unknown,Unknown,Publishing,"Jun  27, 2011 to ?","['Action', 'Ecchi']",[],"Fujioka, Toki (Story & Art)",0,"[0, 0, 0]"
Eien wa Irenai (The Millionaire's Pregnant Mistress),6.58,293,15083,23253,514,0,1,Unknown,Finished,2008,[],[],"Tsukise, Hitomi (Art), Celmer, Michelle (Story)",0,"[0, 0, 0]"
Zen Martial Arts Academy,6.58,2862,15084,3465,"6,293",18,4,29,Finished,2010,"['Action', 'Comedy', 'Ecchi']","['Martial Arts', 'School']","Kim, Jun Hyeong (Story), Taibogi (Art)",1,"[0, 1, 0]"
Kokoro no Subete wo (Something from the Heart),6.58,260,15085,24091,483,0,1,Unknown,Finished,"Aug  11, 2010",[],[],"Fujita, Kazuko (Art), Browning, Amanda (Story)",0,"[0, 0, 0]"
Tsubame-chan Chi no Kateinai Renai,6.58,223,15086,22506,546,1,1,6,Finished,"Jun  10, 2011 to Oct  8, 2011",[],[],"Hanaya, En (Story & Art)",0,"[0, 0, 0]"
Rojiura no Mahou Tantei Jimusho,6.58,192,15087,27859,361,1,Unknown,1,Finished,2012,"['Action', 'Comedy', 'Fantasy']",[],"Ooki, Risa (Story)",0,"[0, 0, 0]"
Danshi Toilet de Machiawase,6.58,1547,15088,6715,"3,063",5,1,6,Finished,"Oct  23, 2014","['Comedy', 'Romance']",[],"Mizu, Asato (Story & Art)",2,"[2, 0, 0]"
Kidou Senshi Gundam MSV Senki: Johnny Ridden,6.58,151,15089,26239,409,2,1,3,Finished,"Oct  5, 2006 to Oct  15, 2007","['Action', 'Sci-Fi']",[],"Yatate, Hajime (Story), Tomino, Yoshiyuki (Story), Hasegawa, Yuuichi (Story & Art)",0,"[0, 0, 0]"
Viskeith no Akai Ningyou,6.58,628,15090,14578,"1,110",2,Unknown,1,Finished,"Sep  10, 2012","['Drama', 'Horror', 'Romance', 'Supernatural']",[],"Ichinose, Kaoru (Story & Art)",2,"[1, 1, 0]"
